miRNA,transcript,start,type,log_kd,note,p3.score
hsa-let-7c-5p,hsa_circ_0087433|chr9:91077410-91093622+|NM_006717|SPIN1,2423,7mer-a1,-3484,TDMD,7
hsa-let-7c-5p,hsa_circ_0091291|chrX:106410878-106418423-|NM_017681|NUP62CL,55,7mer-a1,-4743,TDMD?,6
hsa-let-7c-5p,hsa_circ_0093044|chr10:126628942-126650977+|ENST00000359653.4|ZRANB1,4794,7mer-m8,-5025,TDMD,6
hsa-let-7c-5p,hsa_circ_0093775|chr10:60966513-61004972+|ENST00000433653.1|PHYHIPL,14083,7mer-a1,-4489,TDMD?,9
hsa-let-7c-5p,hsa_circ_0095340|chr11:129034213-129107143-|ENST00000310343.9|ARHGAP32,970,8mer,-6424,TDMD,6
hsa-let-7c-5p,hsa_circ_0095635|chr11:24759766-24843900+|NM_001009909|LUZP2,20706,8mer,-5714,TDMD,6
hsa-let-7c-5p,hsa_circ_0096265|chr11:67926366-67938618-|ENST00000405515.1|SUV420H1,7926,7mer-a1,-4852,TDMD,9
hsa-let-7c-5p,hsa_circ_0099284|chr12:79576158-79611465+|NM_001135805|SYT1,2003,7mer-a1,-4509,TDMD,6
hsa-let-7c-5p,hsa_circ_0101750|chr14:36633325-36684721+|ENST00000546508.1|LINC00609,10298,7mer-a1,-3911,TDMD?,6
hsa-let-7c-5p,hsa_circ_0102084|chr14:51956058-52037128+|ENST00000557103.1|FRMD6,65133,7mer-a1,-3794,TDMD,6
hsa-let-7c-5p,hsa_circ_0114510|chr1:93607748-93682303+|ENST00000557479.1|CCDC18,10734,7mer-a1,-5501,TDMD?,6
hsa-let-7c-5p,hsa_circ_0117312|chr2:133424244-133444038+|ENST00000450509.1|AC010974.3,1430,7mer-m8,-5425,TDMD?,7
hsa-let-7c-5p,hsa_circ_0118315|chr2:186669388-186697973+|NM_173651|FSIP2,2667,7mer-a1,-5307,TDMD?,6
hsa-let-7c-5p,hsa_circ_0118572|chr2:200233327-200301141-|ENST00000417098.1|SATB2,1768,7mer-m8,-5225,TDMD,8
hsa-let-7c-5p,hsa_circ_0118866|chr2:205502515-205551005+|ENST00000406610.2|PARD3B,930,7mer-a1,-3994,TDMD?,6
hsa-let-7c-5p,hsa_circ_0118867|chr2:205502554-205551005+|ENST00000406610.2|PARD3B,891,7mer-a1,-3994,TDMD?,6
hsa-let-7c-5p,hsa_circ_0119067|chr2:213757408-213808528-|ENST00000415387.1|AC093865.1,11508,7mer-a1,-5089,TDMD,6
hsa-let-7c-5p,hsa_circ_0121405|chr3:106404655-106469752-|TCONS_00006579|TCONS_00006579,4793,7mer-a1,-3767,TDMD?,6
hsa-let-7c-5p,hsa_circ_0122651|chr3:168538980-168628602+|ENST00000483846.1|EGFEM1P,6586,7mer-m8,-4812,TDMD,6
hsa-let-7c-5p,hsa_circ_0124809|chr3:96945107-97029294+|ENST00000470610.2|EPHA6,40738,7mer-m8,-5609,TDMD?,6
hsa-let-7c-5p,hsa_circ_0124811|chr3:96962795-97029294+|ENST00000470610.2|EPHA6,40582,7mer-m8,-5609,TDMD?,6
hsa-let-7c-5p,hsa_circ_0125441|chr4:145962468-146017263-|ENST00000512680.1|ANAPC10,2538,8mer,-5644,TDMD,7
hsa-let-7c-5p,hsa_circ_0131494|chr6:22256602-22352880+|TCONS_00011730|TCONS_00011730,50983,7mer-m8,-5271,TDMD,6
hsa-let-7c-5p,hsa_circ_0131759|chr6:42582808-42647570+|NM_015255|UBR2,3388,7mer-a1,-4542,TDMD?,6
hsa-let-7c-5p,hsa_circ_0131776|chr6:42627393-42647570+|NM_015255|UBR2,1131,7mer-a1,-4542,TDMD?,6
hsa-let-7c-5p,hsa_circ_0131778|chr6:42629921-42647570+|NM_015255|UBR2,931,7mer-a1,-4542,TDMD?,6
hsa-let-7c-5p,hsa_circ_0131779|chr6:42630995-42647570+|NM_015255|UBR2,837,7mer-a1,-4542,TDMD?,6
hsa-let-7c-5p,hsa_circ_0131781|chr6:42631015-42647570+|NM_015255|UBR2,817,7mer-a1,-4542,TDMD?,6
hsa-let-7c-5p,hsa_circ_0131782|chr6:42643793-42652609+|NM_015255|UBR2,122,7mer-a1,-4542,TDMD?,6
hsa-let-7c-5p,hsa_circ_0135583|chr8:120758994-120768324+|ENST00000378164.2|TAF2,6070,7mer-a1,-5556,TDMD?,7
hsa-let-7c-5p,hsa_circ_0135584|chr8:120759033-120768324+|ENST00000378164.2|TAF2,6031,7mer-a1,-5556,TDMD?,7
hsa-let-7c-5p,hsa_circ_0137190|chr8:85258353-85330312+|NM_001100392|RALYL,4472,7mer-a1,-4785,TDMD?,7
hsa-let-7c-5p,hsa_circ_0138605|chr9:2984381-3053412-|ENST00000515723.1|CARM1P1,10662,8mer,-6047,TDMD,9
hsa-let-7c-5p,hsa_circ_0138607|chr9:3012923-3053412-|ENST00000515723.1|CARM1P1,10662,8mer,-6047,TDMD,9
hsa-let-7c-5p,hsa_circ_0138671|chr9:33983277-34017187-|ENST00000480885.1|UBAP2,8441,7mer-a1,-5483,TDMD,6
hsa-let-7c-5p,hsa_circ_0139285|chr9:91033692-91096112+|ENST00000541629.1|SPIN1,2856,7mer-a1,-3484,TDMD,7
hsa-let-7c-5p,hsa_circ_0140437|chrX:57419381-57475151+|NM_174912|FAAH2,1462,7mer-m8,-5817,TDMD,8
hsa-let-7d-5p,hsa_circ_0002010|chr10:47232155-48944635-|TCONS_l2_00004179|TCONS_l2_00004179,913123,7mer-a1,-3845,TDMD?,6
hsa-let-7d-5p,hsa_circ_0002098|chr14:50053471-50329409+|NM_002408|MGAT2,205050,7mer-a1,-3494,TDMD?,7
hsa-let-7d-5p,hsa_circ_0002667|chr14:50053447-50329382+|NM_002408|MGAT2,205074,7mer-a1,-3494,TDMD?,7
hsa-let-7d-5p,hsa_circ_0002960|chr17:44127898-45158298-|NM_030753|WNT3,2321,7mer-a1,-4272,TDMD?,6
hsa-let-7d-5p,hsa_circ_0003083|chr10:47232155-48943556-|TCONS_l2_00004179|TCONS_l2_00004179,912934,7mer-a1,-3845,TDMD?,6
hsa-let-7d-5p,hsa_circ_0003425|chr12:112888121-112893867+|NM_002834|PTPN11,183,7mer-m8,-4922,TDMD,8
hsa-let-7d-5p,hsa_circ_0004055|chr14:50053506-50320447+|NM_002408|MGAT2,205015,7mer-a1,-3494,TDMD?,7
hsa-let-7d-5p,hsa_circ_0004186|chr12:112884079-112894702+|NM_002834|PTPN11,306,7mer-m8,-4922,TDMD,8
hsa-let-7d-5p,hsa_circ_0004451|chr10:126631025-126650977+|NM_017580|ZRANB1,2711,7mer-m8,-5084,TDMD,8
hsa-let-7d-5p,hsa_circ_0004521|chr4:155063267-155128205+|None|None,44248,7mer-m8,-4319,TDMD,7
hsa-let-7d-5p,hsa_circ_0004535|chr1:93770944-93791452-|NR_034089|LOC100131564,2723,7mer-a1,-4912,TDMD?,6
hsa-let-7d-5p,hsa_circ_0005114|chr8:105080739-105161076+|NM_001100117|RIMS2,3519,7mer-a1,-3750,TDMD,7
hsa-let-7d-5p,hsa_circ_0005639|chr17:44159806-45158298-|NM_030753|WNT3,2321,7mer-a1,-4272,TDMD?,6
hsa-let-7d-5p,hsa_circ_0007220|chr14:50053471-50320474+|NM_002408|MGAT2,205050,7mer-a1,-3494,TDMD?,7
hsa-let-7d-5p,hsa_circ_0007999|chr14:50053506-50329382+|NM_002408|MGAT2,205015,7mer-a1,-3494,TDMD?,7
hsa-let-7d-5p,hsa_circ_0008588|chr14:50053447-50320447+|NM_002408|MGAT2,205074,7mer-a1,-3494,TDMD?,7
hsa-let-7d-5p,hsa_circ_0008862|chr14:50053461-50329382+|NM_002408|MGAT2,205060,7mer-a1,-3494,TDMD?,7
hsa-let-7d-5p,hsa_circ_0008909|chr14:50053503-50329409+|NM_002408|MGAT2,205018,7mer-a1,-3494,TDMD?,7
hsa-let-7d-5p,hsa_circ_0008931|chr10:47235608-48941194-|TCONS_00018502|TCONS_00018502,905948,7mer-a1,-3845,TDMD?,6
hsa-let-7d-5p,hsa_circ_0015857|chr1:200906307-200926954+|TCONS_l2_00000747|TCONS_l2_00000747,7636,7mer-a1,-4159,TDMD?,6
hsa-let-7d-5p,hsa_circ_0017526|chr10:4934795-4975522+|NR_026743|tAKR,17102,8mer,-5271,TDMD?,7
hsa-let-7d-5p,hsa_circ_0017527|chr10:4950542-4975522+|NR_026743|tAKR,1355,8mer,-5271,TDMD?,7
hsa-let-7d-5p,hsa_circ_0025795|chr12:31535156-31586182-|NM_144973|DENND5B,2705,7mer-m8,-5469,TDMD,8
hsa-let-7d-5p,hsa_circ_0028417|chr12:112884079-112888316+|NM_002834|PTPN11,306,7mer-m8,-4922,TDMD,8
hsa-let-7d-5p,hsa_circ_0028418|chr12:112884079-112892484+|NM_002834|PTPN11,306,7mer-m8,-4922,TDMD,8
hsa-let-7d-5p,hsa_circ_0028419|chr12:112884079-112915819+|NM_002834|PTPN11,306,7mer-m8,-4922,TDMD,8
hsa-let-7d-5p,hsa_circ_0028420|chr12:112888121-112888316+|NM_002834|PTPN11,183,7mer-m8,-4922,TDMD,8
hsa-let-7d-5p,hsa_circ_0028421|chr12:112888121-112892484+|NM_002834|PTPN11,183,7mer-m8,-4922,TDMD,8
hsa-let-7d-5p,hsa_circ_0028422|chr12:112888121-112910844+|NM_002834|PTPN11,183,7mer-m8,-4922,TDMD,8
hsa-let-7d-5p,hsa_circ_0028423|chr12:112888121-112915819+|NM_002834|PTPN11,183,7mer-m8,-4922,TDMD,8
hsa-let-7d-5p,hsa_circ_0028424|chr12:112888121-112920009+|NM_002834|PTPN11,183,7mer-m8,-4922,TDMD,8
hsa-let-7d-5p,hsa_circ_0028425|chr12:112888121-112926979+|NM_002834|PTPN11,183,7mer-m8,-4922,TDMD,8
hsa-let-7d-5p,hsa_circ_0028426|chr12:112888121-112947717+|NM_002834|PTPN11,183,7mer-m8,-4922,TDMD,8
hsa-let-7d-5p,hsa_circ_0066635|chr3:99536677-99744402+|NM_032359|C3orf26,49759,7mer-a1,-3963,TDMD,6
hsa-let-7d-5p,hsa_circ_0067128|chr3:126169958-126190894-|NM_001040653|ZXDC,2179,7mer-m8,-3951,TDMD?,6
hsa-let-7d-5p,hsa_circ_0075817|chr6:21743147-21802971+|NR_015410|LINC00340,8673,7mer-a1,-3513,TDMD?,6
hsa-let-7d-5p,hsa_circ_0085300|chr8:105080739-105105871+|NM_001100117|RIMS2,3519,7mer-a1,-3750,TDMD,7
hsa-let-7d-5p,hsa_circ_0085301|chr8:105080739-105257285+|NM_001100117|RIMS2,3519,7mer-a1,-3750,TDMD,7
hsa-let-7d-5p,hsa_circ_0086197|chr9:473193-713464+|NM_153186|KANK1,21253,7mer-m8,-4302,TDMD,9
hsa-let-7d-5p,hsa_circ_0086198|chr9:473193-732617+|NM_153186|KANK1,21253,7mer-m8,-4302,TDMD,9
hsa-let-7d-5p,hsa_circ_0088336|chr9:123972513-124028032+|None|None,599,7mer-a1,-4575,TDMD,7
hsa-let-7d-5p,hsa_circ_0093044|chr10:126628942-126650977+|ENST00000359653.4|ZRANB1,4794,7mer-m8,-5084,TDMD,8
hsa-let-7d-5p,hsa_circ_0094313|chr10:87869526-87898781-|NM_017551|GRID1,15617,7mer-m8,-4520,TDMD,7
hsa-let-7d-5p,hsa_circ_0095340|chr11:129034213-129107143-|ENST00000310343.9|ARHGAP32,970,8mer,-5924,TDMD,8
hsa-let-7d-5p,hsa_circ_0095803|chr11:40497041-40501884-|ENST00000530763.1|LRRC4C,546,7mer-a1,-4148,TDMD?,6
hsa-let-7d-5p,hsa_circ_0097803|chr12:124337752-124366360+|ENST00000409039.3|DNAH10,1990,7mer-m8,-4937,TDMD,7
hsa-let-7d-5p,hsa_circ_0097804|chr12:124337752-124371860+|ENST00000409039.3|DNAH10,1990,7mer-m8,-4937,TDMD,7
hsa-let-7d-5p,hsa_circ_0097810|chr12:124341602-124366360+|ENST00000409039.3|DNAH10,1843,7mer-m8,-4937,TDMD,7
hsa-let-7d-5p,hsa_circ_0097811|chr12:124341602-124371860+|ENST00000409039.3|DNAH10,1843,7mer-m8,-4937,TDMD,7
hsa-let-7d-5p,hsa_circ_0097814|chr12:124362282-124364348+|ENST00000409039.3|DNAH10,82,7mer-m8,-4937,TDMD,7
hsa-let-7d-5p,hsa_circ_0099284|chr12:79576158-79611465+|NM_001135805|SYT1,8595,7mer-m8,-5767,TDMD?,6
hsa-let-7d-5p,hsa_circ_0099284|chr12:79576158-79611465+|NM_001135805|SYT1,2003,7mer-a1,-4049,TDMD,8
hsa-let-7d-5p,hsa_circ_0102179|chr14:56611664-56645182+|ENST00000267460.4|PELI2,6559,7mer-a1,-4714,TDMD?,6
hsa-let-7d-5p,hsa_circ_0102946|chr14:93760203-93791211-|ENST00000555525.1|BTBD7,19759,7mer-a1,-4661,TDMD?,6
hsa-let-7d-5p,hsa_circ_0103364|chr15:36150187-36233128+|ENST00000501169.2|ATPBD4-AS1,20444,8mer,-5704,TDMD?,7
hsa-let-7d-5p,hsa_circ_0108420|chr18:39661086-39739441+|ENST00000262039.4|PIK3C3,45728,7mer-a1,-3559,TDMD,6
hsa-let-7d-5p,hsa_circ_0118866|chr2:205502515-205551005+|ENST00000406610.2|PARD3B,930,7mer-a1,-3475,TDMD?,8
hsa-let-7d-5p,hsa_circ_0118867|chr2:205502554-205551005+|ENST00000406610.2|PARD3B,891,7mer-a1,-3475,TDMD?,8
hsa-let-7d-5p,hsa_circ_0119255|chr2:22753907-22798594-|ENST00000450551.1|AC068490.2,4373,7mer-a1,-4898,TDMD?,6
hsa-let-7d-5p,hsa_circ_0120037|chr2:39583389-39622124-|ENST00000437545.1|MAP4K3,12222,7mer-a1,-3011,TDMD?,6
hsa-let-7d-5p,hsa_circ_0121554|chr3:117606336-117653287-|ENST00000539563.1|LSAMP,28029,7mer-a1,-3921,TDMD?,6
hsa-let-7d-5p,hsa_circ_0121555|chr3:117625145-117625338-|ENST00000539563.1|LSAMP,80,7mer-a1,-3921,TDMD?,6
hsa-let-7d-5p,hsa_circ_0122651|chr3:168538980-168628602+|ENST00000483846.1|EGFEM1P,6586,7mer-m8,-4872,TDMD,8
hsa-let-7d-5p,hsa_circ_0130585|chr6:126432364-126496057+|None|None,61269,7mer-a1,-4644,TDMD,7
hsa-let-7d-5p,hsa_circ_0130587|chr6:126434011-126496057+|None|None,59622,7mer-a1,-4644,TDMD,7
hsa-let-7d-5p,hsa_circ_0130588|chr6:126434011-126498481+|TCONS_00011368|TCONS_00011368,59622,7mer-a1,-4644,TDMD,7
hsa-let-7d-5p,hsa_circ_0131464|chr6:21668877-21758765+|NR_015410|LINC00340,82943,7mer-a1,-3513,TDMD?,6
hsa-let-7d-5p,hsa_circ_0131467|chr6:21741005-21783939+|NR_015410|LINC00340,10815,7mer-a1,-3513,TDMD?,6
hsa-let-7d-5p,hsa_circ_0131468|chr6:21741005-21802971+|NR_015410|LINC00340,10815,7mer-a1,-3513,TDMD?,6
hsa-let-7d-5p,hsa_circ_0131469|chr6:21743147-21783939+|NR_015410|LINC00340,8673,7mer-a1,-3513,TDMD?,6
hsa-let-7d-5p,hsa_circ_0131494|chr6:22256602-22352880+|TCONS_00011730|TCONS_00011730,50983,7mer-m8,-5246,TDMD,8
hsa-let-7d-5p,hsa_circ_0133095|chr7:114138937-114210936+|ENST00000462331.1|FOXP2,62176,7mer-a1,-4502,TDMD?,6
hsa-let-7d-5p,hsa_circ_0135433|chr8:105025669-105105871+|ENST00000507740.1|RIMS2,57705,7mer-a1,-3750,TDMD,7
hsa-let-7d-5p,hsa_circ_0135583|chr8:120758994-120768324+|ENST00000378164.2|TAF2,6070,7mer-a1,-5037,TDMD?,9
hsa-let-7d-5p,hsa_circ_0135584|chr8:120759033-120768324+|ENST00000378164.2|TAF2,6031,7mer-a1,-5037,TDMD?,9
hsa-let-7d-5p,hsa_circ_0137149|chr8:80782258-80831383-|ENST00000502766.2|RP11-26J3.1,32335,7mer-m8,-5991,TDMD?,6
hsa-let-7d-5p,hsa_circ_0137347|chr8:95358815-95423543-|NM_001205263|RAD54B,9592,7mer-a1,-3813,TDMD,7
hsa-let-7d-5p,hsa_circ_0139718|chrX:123943453-124003604+|NM_001163278|ODZ1,20358,7mer-a1,-2955,TDMD,6
hsa-let-7e-5p,hsa_circ_0000962|chr19:57722721-57760068+|NM_003417|ZNF264,4317,7mer-a1,-4434,TDMD,6
hsa-let-7e-5p,hsa_circ_0001105|chr2:231155174-231253348+|NM_007237|SP140,75441,7mer-m8,-4258,TDMD,9
hsa-let-7e-5p,hsa_circ_0001106|chr2:231158985-231256944+|NM_007237|SP140,75193,7mer-m8,-4258,TDMD,9
hsa-let-7e-5p,hsa_circ_0002098|chr14:50053471-50329409+|NM_002408|MGAT2,205050,7mer-a1,-3887,TDMD?,6
hsa-let-7e-5p,hsa_circ_0002667|chr14:50053447-50329382+|NM_002408|MGAT2,205074,7mer-a1,-3887,TDMD?,6
hsa-let-7e-5p,hsa_circ_0002937|chr2:108477221-109370019+|NM_182588|RGPD4,105388,7mer-a1,-3514,TDMD,8
hsa-let-7e-5p,hsa_circ_0002960|chr17:44127898-45158298-|NM_030753|WNT3,487063,7mer-a1,-4536,TDMD,7
hsa-let-7e-5p,hsa_circ_0002960|chr17:44127898-45158298-|NM_030753|WNT3,704917,7mer-a1,-4536,TDMD,7
hsa-let-7e-5p,hsa_circ_0003425|chr12:112888121-112893867+|NM_002834|PTPN11,183,7mer-m8,-4418,TDMD,7
hsa-let-7e-5p,hsa_circ_0003603|chr7:72607064-74157788+|NM_003388|CLIP2,1389105,7mer-a1,-3889,TDMD?,6
hsa-let-7e-5p,hsa_circ_0003953|chr1:145897084-147442191+|NM_001097616|GPR89C,947870,7mer-m8,-4686,TDMD?,6
hsa-let-7e-5p,hsa_circ_0004055|chr14:50053506-50320447+|NM_002408|MGAT2,205015,7mer-a1,-3887,TDMD?,6
hsa-let-7e-5p,hsa_circ_0004186|chr12:112884079-112894702+|NM_002834|PTPN11,306,7mer-m8,-4418,TDMD,7
hsa-let-7e-5p,hsa_circ_0004451|chr10:126631025-126650977+|NM_017580|ZRANB1,2711,7mer-m8,-4522,TDMD,7
hsa-let-7e-5p,hsa_circ_0004521|chr4:155063267-155128205+|None|None,44248,7mer-m8,-4030,TDMD,6
hsa-let-7e-5p,hsa_circ_0005114|chr8:105080739-105161076+|NM_001100117|RIMS2,3519,7mer-a1,-3688,TDMD,6
hsa-let-7e-5p,hsa_circ_0005234|chr12:27274878-27788048+|NM_177444|PPFIBP1,323344,7mer-a1,-3643,TDMD?,7
