Chromosome;Start;End;Strand;Number of included exons;Exon sizes;Exon offsets (0 base);Junction reads;Gene symbol;Transcript id;Flanking introns
chr1;115262199;115280693;-;15;164,179,120,113,176,108,165,141,213,126,129,82,98,93,110;0,960,4304,5642,6632,7404,10679,10929,13025,14153,14410,14863,17179,17892,18384;1;CSDE1;NM_001007553;chr1:115261366-115262199|chr1:115280693-115282312
chr1;117944807;117948267;+;2;256,97;0,3363;10;MAN1A2;NM_006699;chr1:117911107-117944807|chr1:117948267-117957334
chr1;117944807;117957453;+;3;256,97,119;0,3363,12527;69;MAN1A2;NM_006699;chr1:117911107-117944807|chr1:117957453-117963190
chr1;117944807;117963271;+;4;256,97,119,81;0,3363,12527,18383;155;MAN1A2;NM_006699;chr1:117911107-117944807|chr1:117963271-117984852
chr1;117944807;117984947;+;5;256,97,119,81,95;0,3363,12527,18383,40045;47;MAN1A2;NM_006699;chr1:117911107-117944807|chr1:117984947-118003110
chr1;117944807;118009049;+;7;256,97,119,81,95,124,94;0,3363,12527,18383,40045,58303,64148;7;MAN1A2;NM_006699;chr1:117911107-117944807|chr1:118009049-118035768
chr1;117948170;117963271;+;3;97,119,81;0,9164,15020;1;MAN1A2;NM_006699;chr1:117945063-117948170|chr1:117963271-117984852
chr1;117984852;118009049;+;3;95,124,94;0,18258,24103;1;MAN1A2;uc009whg.1;chr1:117963271-117984852|chr1:118009049-118035768
chr1;117984852;118045592;+;7;95,124,94,116,220,173,116;0,18258,24103,50916,54532,57151,60624;1;MAN1A2;NM_006699;chr1:117963271-117984852|chr1:118045592-118065446
chr1;118003110;118045592;+;6;124,94,116,220,173,116;0,5845,32658,36274,38893,42366;5;MAN1A2;NM_006699;chr1:117984947-118003110|chr1:118045592-118065446
chr1;118420630;118455305;-;10;144,55,140,77,77,157,160,77,89,154;0,3814,5479,8568,9689,18824,21048,28497,33985,34521;1;GDAP2;NM_017686;chr1:118413238-118420630|chr1:118455305-118461218
chr1;118454615;118461358;-;3;89,154,140;0,536,6603;2;GDAP2;NM_017686;chr1:118449204-118454615|chr1:118461358-118462804
chr1;118461218;118463047;-;2;140,243;0,1586;4;GDAP2;NM_017686;chr1:118455305-118461218|chr1:118463047-118472070
chr1;11893933;11897213;+;5;154,160,107,187,158;0,359,607,2090,3122;1;CLCN6;NM_001256959;chr1:11893695-11893933|chr1:11897213-11897399
chr1;1192371;1192690;-;2;139,103;0,216;5;UBE2J2;uc001adm.4;chr1:1191505-1192371|chr1:1192690-1198725
chr1;12049221;12052747;+;2;179,136;0,3390;2;MFN2;NM_001127660;chr1:12040541-12049221|chr1:12052747-12056212
chr1;120508075;120508189;-;1;114;0;1;NOTCH2;NM_024408;chr1:120506430-120508075|chr1:120508189-120508998
chr1;120529582;120548211;-;3;123,336,260;0,10037,18369;2;NOTCH2;NM_024408;chr1:120512367-120529582|chr1:120548211-120572528
chr1;121115831;121116815;+;2;216,129;0,855;1;SRGAP2D;uc031pnu.1;chr1:121107216-121115831|chr1:121116815-121124564
chr1;12333059;12338095;+;2;133,2214;0,2822;1;VPS13D;NM_015378;chr1:12331181-12333059|chr1:12338095-12339555
chr1;12335881;12338095;+;1;2214;0;3;VPS13D;NM_015378;chr1:12333192-12335881|chr1:12338095-12339555
chr1;12359258;12359441;+;1;183;0;1;VPS13D;NM_015378;chr1:12353761-12359258|chr1:12359441-12364562
chr1;12359258;12368698;+;3;183,223,211;0,5304,9229;2;VPS13D;NM_015378;chr1:12353761-12359258|chr1:12368698-12371510
chr1;12359258;12382021;+;9;183,223,211,172,113,213,266,134,156;0,5304,9229,12252,12611,14913,18870,20295,22607;1;VPS13D;NM_015378;chr1:12353761-12359258|chr1:12382021-12382592
chr1;12359258;12406709;+;20;183,223,211,172,113,213,266,134,156,211,75,207,90,141,123,75,106,153,136,48;0,5304,9229,12252,12611,14913,18870,20295,22607,23334,24504,28446,30627,34024,36503,39029,42578,43697,46172,47403;1;VPS13D;NM_015378;chr1:12353761-12359258|chr1:12406709-12408879
chr1;12382592;12423303;+;19;211,75,207,90,141,123,75,106,153,136,48,151,211,248,192,127,143,131,176;0,1170,5112,7293,10690,13169,15695,19244,20363,22838,24069,26287,26628,31438,33363,33862,35922,40183,40535;1;VPS13D;NM_015378;chr1:12382021-12382592|chr1:12423303-12428522
chr1;12460237;12476880;+;5;150,97,149,135,168;0,1423,3640,14902,16475;1;VPS13D;NM_015378;chr1:12446393-12460237|chr1:12476880-12516053
chr1;14042035;14075982;+;5;74,118,104,153,127;0,15459,17238,26464,33820;1;PRDM2;NM_001135610;chr1:14026795-14042035|chr1:14075982-14142921
chr1;14095612;14099683;+;2;56,111;0,3960;1;PRDM2;uc001avk.3;chr1:14075982-14095612|chr1:14099683-14104912
chr1;14099572;14109326;+;2;111,4414;0,5340;6;PRDM2;NM_015866;chr1:14075982-14099572|chr1:14109326-14113009
chr1;144598511;144598780;+;1;269;0;1;NBPF9;uc009wif.1;chr1:144593965-144598511|chr1:144598780-144604477
chr1;144598511;144615303;+;4;269,142,224,208;0,7857,8326,16584;1;NBPF9;uc010oye.3;chr1:144595952-144598511|chr1:144615303-144617149
chr1;144921834;144922638;-;3;213,93,120;0,352,684;1;PDE4DIP;NM_001198834;chr1:144918991-144921834|chr1:144922638-144923689
chr1;144946624;144952689;-;3;118,176,124;0,5576,5941;1;PDE4DIP;NM_001198834;chr1:144923821-144946624|chr1:144952689-144955215
chr1;145227040;145248894;+;2;296,82;0,21772;1;NOTCH2NL;uc031pob.1;chr1:145224702-145227040|chr1:145248894-145273184
chr1;145594038;145595220;-;3;150,50,102;0,906,1080;2;POLR3C;uc001eog.3;chr1:145592771-145594038|chr1:145595220-145596903
chr1;145646114;145663367;+;3;59,58,209;0,4368,17044;1;RNF115;NM_014455;chr1:145611341-145646114|chr1:145663367-145682022
chr1;145803307;145818826;-;6;81,121,102,107,104,60;0,937,8034,8588,13329,15459;1;GPR89A;uc010ozb.1;chr1:145791170-145803307|chr1:145818826-145826387
chr1;145897084;145900490;+;3;110,89,93;0,2321,3313;1;GPR89C;uc001eou.4;chr1:145884935-145897084|chr1:145900490-145916724
chr1;145916724;145919047;+;2;96,90;0,2233;1;GPR89C;uc001eou.4;chr1:145900490-145916724|chr1:145919047-145923027
chr1;146724277;146731572;+;4;113,115,32,82;0,3190,3907,7213;9;CHD1L;NM_001256336;chr1:146714480-146724277|chr1:146731572-146736080
chr1;146731490;146736243;+;2;82,163;0,4590;1;CHD1L;NM_001256336;chr1:146728216-146731490|chr1:146736243-146737590
chr1;146736080;146751864;+;9;163,156,93,97,74,111,115,154,166;0,1510,3004,4360,6512,7751,10936,11687,15618;1;CHD1L;NM_001256336;chr1:146731572-146736080|chr1:146751864-146756023
chr1;146747016;146757164;+;5;115,154,166,149,164;0,751,4682,9007,9984;9;CHD1L;NM_001256336;chr1:146743942-146747016|chr1:146757164-146757974
chr1;146757974;146759412;+;2;203,99;0,1339;1;CHD1L;NM_001256336;chr1:146757164-146757974|chr1:146759412-146763163
chr1;147120047;147131890;-;8;166,96,101,133,88,80,131,129;0,1898,4204,6261,7228,11027,11463,11714;3;ACP6;NM_016361;chr1:147119368-147120047|chr1:147131890-147141951
chr1;147121945;147131890;-;7;96,101,133,88,80,131,129;0,2306,4363,5330,9129,9565,9816;1;ACP6;NM_016361;chr1:147120213-147121945|chr1:147131890-147141951
chr1;147438785;147442191;+;3;110,89,93;0,2321,3313;1;GPR89B;uc010ozs.1;chr1:147426634-147438785|chr1:147442191-147458430
chr1;147458430;147460753;+;2;96,90;0,2233;1;GPR89B;uc010ozs.1;chr1:147442191-147458430|chr1:147460753-147464733
chr1;149921996;149931715;-;2;128,113;0,9606;1;OTUD7B;NM_020205;chr1:149921681-149921996|chr1:149931715-149936146
chr1;149936146;149937803;-;2;128,102;0,1555;1;OTUD7B;NM_020205;chr1:149931715-149936146|chr1:149937803-149939218
chr1;150198939;150201570;-;2;188,166;0,2465;2;ANP32E;NM_001136479;chr1:150195566-150198939|chr1:150201570-150202905
chr1;150202905;150204264;-;2;123,150;0,1209;6;ANP32E;NM_001136479;chr1:150201570-150202905|chr1:150204264-150206926
chr1;150297352;150305670;+;6;193,131,96,147,84,221;0,856,2663,3426,7802,8097;1;PRPF3;uc009wlp.2;chr1:150294041-150297352|chr1:150305670-150307405
chr1;150390071;150418877;+;5;130,101,53,127,176;0,23327,25635,26655,28630;1;RPRD2;uc010pcc.1;chr1:150337395-150390071|chr1:150418877-150429763
chr1;150413398;150418877;+;4;101,53,127,176;0,2308,3328,5303;1;RPRD2;uc010pcc.1;chr1:150390201-150413398|chr1:150418877-150429763
chr1;150464886;150469384;+;3;79,147,99;0,4071,4399;2;TARS2;NM_025150;chr1:150464138-150464886|chr1:150469384-150470005
chr1;150634289;150636239;-;2;115,132;0,1818;2;GOLPH3L;NM_018178;chr1:150621224-150634289|chr1:150636239-150667131
chr1;150789557;150795821;-;4;121,73,111,152;0,279,838,6112;1;ARNT;NM_001197325;chr1:150789366-150789557|chr1:150795821-150799018
chr1;150795669;150799093;-;2;152,75;0,3349;2;ARNT;NM_001197325;chr1:150790506-150795669|chr1:150799093-150801568
chr1;150997086;150998149;+;2;185,159;0,904;3;PRUNE;NM_021222;chr1:150991145-150997086|chr1:150998149-150999708
chr1;150997086;151001420;+;4;185,159,95,159;0,904,2622,4175;1;PRUNE;NM_021222;chr1:150991145-150997086|chr1:151001420-151006281
chr1;150999708;151001420;+;2;95,159;0,1553;2;PRUNE;NM_021222;chr1:150998149-150999708|chr1:151001420-151006281
chr1;151139409;151139890;+;3;89,98,89;0,187,392;5;TNFAIP8L2-SCNM1;NM_001204848;chr1:151139017-151139409|chr1:151139890-151140619
chr1;151196723;151205179;+;5;32,81,131,118,153;0,3072,7423,8000,8303;1;PIP5K1A;NM_001135637;chr1:151171557-151196723|chr1:151205179-151206672
chr1;151196723;151209239;+;7;32,81,131,118,153,300,206;0,3072,7423,8000,8303,9949,12310;1;PIP5K1A;NM_001135637;chr1:151171557-151196723|chr1:151209239-151210657
chr1;151212430;151215043;+;3;85,147,130;0,2168,2483;1;PIP5K1A;uc021oyo.1;chr1:151211654-151212430|chr1:151215043-151219395
chr1;151234636;151236504;+;2;141,115;0,1753;1;PSMD4;NM_002810;chr1:151227284-151234636|chr1:151236504-151237307
chr1;151288048;151288985;-;1;937;0;1;PI4KB;NM_001198773;chr1:151280277-151288048|chr1:151288985-151297220
chr1;151380575;151381304;-;3;141,173,135;0,309,594;2;POGZ;NM_207171;chr1:151379767-151380575|chr1:151381304-151384100
chr1;151380575;151384872;-;5;141,173,135,147,101;0,309,594,3525,4196;1;POGZ;NM_207171;chr1:151379767-151380575|chr1:151384872-151395872
chr1;151395872;151403317;-;7;155,338,107,219,291,109,176;0,552,1558,4426,4726,6206,7269;3;POGZ;NM_207171;chr1:151384872-151395872|chr1:151403317-151414556
chr1;151395872;151414681;-;9;155,338,107,192,291,109,176,159,125;0,552,1558,4426,4726,6206,7269,17531,18684;4;POGZ;NM_001194937;chr1:151384872-151395872|chr1:151414681-151431627
chr1;151400298;151403317;-;4;219,291,109,176;0,300,1780,2843;4;POGZ;NM_207171;chr1:151397537-151400298|chr1:151403317-151414556
chr1;151400298;151414681;-;6;192,291,109,176,159,125;0,300,1780,2843,13105,14258;5;POGZ;NM_001194937;chr1:151397537-151400298|chr1:151414681-151431627
chr1;151611363;151611595;+;1;232;0;4;SNX27;uc031ppc.1;chr1:151584857-151611363|chr1:151611595-151630710
chr1;151611363;151641111;+;6;232,193,65,105,79,164;0,19347,21910,23278,27045,29584;2;SNX27;uc031ppc.1;chr1:151584857-151611363|chr1:151641111-151655831
chr1;151630710;151630903;+;1;193;0;2;SNX27;uc031ppc.1;chr1:151611595-151630710|chr1:151630903-151633273
chr1;151630710;151641111;+;5;193,65,105,79,164;0,2563,3931,7698,10237;4;SNX27;uc031ppc.1;chr1:151611595-151630710|chr1:151641111-151655831
chr1;151640947;151655921;+;2;164,90;0,14884;1;SNX27;uc031ppc.1;chr1:151638487-151640947|chr1:151655921-151664910
chr1;153636518;153641052;-;7;88,79,117,66,103,78,124;0,353,1177,1620,3512,3957,4410;1;ILF2;NM_001267809;chr1:153635752-153636518|chr1:153641052-153642311
chr1;153637695;153641033;-;5;117,66,103,78,105;0,443,2335,2780,3233;3;ILF2;NM_004515;chr1:153636950-153637695|chr1:153641033-153642311
chr1;153721164;153730239;+;5;67,145,130,98,192;0,2406,3590,5953,8883;1;INTS3;uc009wom.3;chr1:153719839-153721164|chr1:153730239-153732001
chr1;153723570;153730239;+;4;145,130,98,192;0,1184,3547,6477;3;INTS3;uc009wom.3;chr1:153721231-153723570|chr1:153730239-153732001
chr1;153734045;153737539;+;7;107,120,130,55,104,45,120;0,1158,1663,2262,2548,3120,3374;1;INTS3;uc009wom.3;chr1:153733394-153734045|chr1:153737539-153740149
chr1;153784206;153785928;-;3;118,111,203;0,291,1519;4;GATAD2B;NM_020699;chr1:153782786-153784206|chr1:153785928-153788748
chr1;153788748;153792211;-;5;316,171,132,132,130;0,1099,1767,2518,3333;1;GATAD2B;NM_020699;chr1:153785928-153788748|chr1:153792211-153800488
chr1;154184795;154186422;-;3;59,167,54;0,138,1573;1;C1orf43;NM_001098616;chr1:154180124-154184795|chr1:154186422-154186932
chr1;154213988;154218851;+;3;53,86,172;0,1704,4691;1;UBAP2L;NM_001127320;chr1:154209612-154213988|chr1:154218851-154221714
chr1;154223516;154224129;+;2;278,173;0,440;1;UBAP2L;NM_001127320;chr1:154221913-154223516|chr1:154224129-154226375
