Chromosome;Start;End;Strand;Number of included exons;Exon sizes;Exon offsets (0 base);Junction reads;Gene symbol;Transcript id;Flanking introns
chr12;70193988;70195501;+;2;129,113;0,1400;24;RAB3IP;NM_022456;chr12:70189124-70193988|chr12:70195501-70206557
chr14;32559707;32563592;+;1;3885;0;24;ARHGAP5;uc001wrl.3;chr14:32546259-32559707|chr14:32563592-32586345
chr2;64083439;64085070;+;2;128,108;0,1523;24;UGP2;NM_001001521;chr2:64068366-64083439|chr2:64085070-64109599
chr2;72945231;72960247;-;4;205,46,91,48;0,12904,13052,14968;24;EXOC6B;NM_015189;chr2:72802797-72945231|chr2:72960247-72968432
chr12;130184354;130185243;-;1;889;0;23;TMEM132D;NM_133448;chr12:130015750-130184354|chr12:130185243-130387805
chr2;61749745;61761038;-;3;73,102,132;0,3809,11161;23;XPO1;uc010fcl.3;chr2:61729445-61749745|chr2:61761038-61763844
chr3;142455220;142467302;+;3;155,102,203;0,7106,11879;23;TRPC1;NM_001251845;chr3:142443573-142455220|chr3:142467302-142496473
chr5;113740134;113740553;+;1;419;0;23;KCNN2;NM_021614;chr5:113699698-113740134|chr5:113740553-113798745
chr10;7839009;7844817;+;6;132,205,144,65,156,97;0,1943,2725,2980,5223,5711;21;ATP5C1;NM_001001973;chr10:7838118-7839009|chr10:7844817-7848936
chr12;95602618;95605043;-;1;2425;0;21;FGD6;NM_018351;chr12:95566520-95602618|chr12:95605043-95611000
chr14;99924615;99932150;-;5;257,73,149,93,111;0,834,2913,5207,7424;21;SETD3;uc031qqj.1;chr14:99880271-99924615|chr14:99932150-99945075
chr2;55209650;55214834;-;2;139,208;0,4976;21;RTN4;NM_007008;chr2:55201900-55209650|chr2:55214834-55237222
chr22;21288066;21288532;+;1;466;0;21;CRKL;NM_005207;chr22:21272533-21288066|chr22:21288532-21303998
chr20;31376659;31380576;+;3;159,108,145;0,2747,3772;20;DNMT3B;uc010ztx.1;chr20:31375257-31376659|chr20:31380576-31383120
chr21;38792600;38794168;+;2;86,93;0,1475;20;DYRK1A;uc031rvi.1;None|chr21:38794168-38844985
chr7;99621041;99621930;+;2;514,154;0,735;20;ZKSCAN1;NM_003439;chr7:99613349-99621041|chr7:99621930-99627483
chr9;111868787;111870850;-;2;102,118;0,1945;20;TMEM245;NM_032012;chr9:111855871-111868787|chr9:111870850-111881614
chrX;139865339;139866824;-;1;1485;0;20;CDR1as;NM_004065;None
chr18;29691716;29693823;+;2;166,116;0,1991;19;RNF138;NM_016271;chr18:29672849-29691716|chr18:29693823-29703480
chr4;187584452;187630999;-;2;315,3283;0,43264;18;FAT1;NM_005245;chr4:187560937-187584452|chr4:187630999-187644817
chr5;124036706;124036962;-;1;256;0;18;ZNF608;NM_020747;chr5:123985390-124036706|chr5:124036962-124079776
chr6;111208707;111211559;+;3;87,127,103;0,1352,2749;18;AMD1;uc011eay.1;chr6:111136018-111208707|chr6:111211559-111213363
chr15;59204761;59209198;-;3;48,198,65;0,936,4372;17;SLTM;NM_001013843;chr15:59193486-59204761|chr15:59209198-59224554
chr15;80412669;80415142;+;3;171,109,101;0,1384,2372;17;ZFAND6;NM_001242911;chr15:80352151-80412669|chr15:80415142-80423521
chr3;196831773;196846401;-;3;103,157,121;0,11024,14507;17;DLG1;NM_001204387;chr3:196817897-196831773|chr3:196846401-196857397
chr7;121753171;121773795;-;10;112,123,149,128,79,147,68,85,177,225;0,480,1956,3515,3761,5189,5445,13257,16243,20399;17;AASS;NM_005763;chr7:121741734-121753171|chr7:121773795-121784214
chr11;32948702;32956981;+;3;113,162,3693;0,805,4586;16;QSER1;NM_001076786;chr11:32914880-32948702|chr11:32956981-32975402
chr11;6962801;6977013;+;4;83,133,96,93;0,1512,1975,14119;16;ZNF215;uc001mez.1;chr11:6953903-6962801|chr11:6977013-7005359
chr13;111274562;111276626;+;2;151,46;0,2018;16;CARKD;NM_001242882;chr13:111267994-111274562|chr13:111276626-111277536
chr15;25650607;25657118;-;4;42,65,120,64;0,3159,3627,6447;16;UBE3A;NM_000462;chr15:25620910-25650607|chr15:25657118-25683635
chr2;190656515;190682906;+;4;152,183,103,164;0,3979,13862,26227;16;PMS1;uc010zga.1;chr2:190649319-190656515|chr2:190682906-190717380
chr2;55252221;55255356;-;2;2400,57;0,3078;16;RTN4;NM_207521;chr2:55214834-55252221|chr2:55255356-55276214
chr4;77055327;77065626;-;3;188,227,84;0,2011,10215;16;NUP54;NM_001278603;chr4:77053872-77055327|chr4:77065626-77069460
chr1;23356961;23377013;+;3;166,60,134;0,13958,19918;15;KDM1A;NM_001009999;chr1:23346440-23356961|chr1:23377013-23380253
chr11;130130750;130131824;-;1;1074;0;15;ZBTB44;NM_014155;chr11:130109791-130130750|chr11:130131824-130184269
chr18;21644103;21663045;+;5;49,129,115,355,169;0,1872,5017,16445,18773;15;TTC39C;NM_153211;chr18:21573002-21644103|chr18:21663045-21694517
chr3;150834124;150845771;+;3;105,192,160;0,6445,11487;15;MED12L;uc003eym.1;chr3:150804812-150834124|chr3:150845771-150873947
chr6;159004985;159010814;+;3;91,122,111;0,1350,5718;15;TMEM181;uc010kjr.1;chr6:159002027-159004985|chr6:159010814-159026298
chr6;47251673;47254331;-;2;495,652;0,2006;15;TNFRSF21;NM_014452;chr6:47221257-47251673|chr6:47254331-47277151
chr12;109046047;109048186;-;2;146,105;0,2034;14;CORO1C;NM_001105237;chr12:109042796-109046047|chr12:109048186-109051079
chr19;34921480;34925873;+;4;84,71,65,101;0,1285,2772,4292;14;UBA2;NM_005499;chr19:34919475-34921480|chr19:34925873-34929549
chr6;22020567;22020771;+;1;204;0;14;CASC15;NR_015410;chr6:21979291-22020567|chr6:22020771-22056774
chr7;22347957;22357656;-;4;169,122,107,51;0,1630,7031,9648;14;RAPGEF5;NM_012294;chr7:22330860-22347957|chr7:22357656-22396448
chrX;6069035;6069812;-;1;777;0;14;NLGN4X;NM_001282146;chrX:5947473-6069035|chrX:6069812-6144920
chr1;8601272;8617582;-;3;105,97,106;0,15261,16204;13;RERE;NM_001042681;chr1:8568734-8601272|chr1:8617582-8674619
chr12;111990083;111993723;-;4;151,72,60,37;0,626,1878,3603;13;ATXN2;uc001tsh.3;chr12:111963120-111990083|chr12:111993723-112037378
chr13;100909848;100925600;+;4;79,103,95,151;0,5134,11094,15601;13;PCCA;NM_000282;chr13:100888132-100909848|chr13:100925600-100953713
chr14;93760203;93762503;-;2;1080,188;0,2112;13;BTBD7;NM_001002860;chr14:93730339-93760203|chr14:93762503-93799165
chr15;99250790;99251336;+;1;546;0;13;IGF1R;uc010urq.2;chr15:99192904-99250790|chr15:99251336-99434553
chr16;68155889;68160513;+;2;1135,163;0,4461;13;NFATC3;uc010vkl.2;chr16:68119083-68155889|chr16:68160513-68191771
chr17;80721840;80739597;+;5;98,102,147,56,133;0,2302,4455,8487,17624;13;TBCD;uc002kfx.1;chr17:80710253-80721840|chr17:80739597-80755632
chr3;196842797;196846401;-;2;157,121;0,3483;13;DLG1;NM_001204387;chr3:196831876-196842797|chr3:196846401-196857397
chr4;7870348;7873807;-;2;98,129;0,3330;13;AFAP1;NM_001134647;chr4:7857301-7870348|chr4:7873807-7941382
chr5;137320945;137324004;-;3;133,156,42;0,2204,3017;13;FAM13B;NM_001101800;chr5:137298158-137320945|chr5:137324004-137342678
chr7;128655032;128658211;-;3;157,74,201;0,2004,2978;13;TNPO3;NM_001191028;chr7:128645213-128655032|chr7:128658211-128694704
chr8;30332294;30361953;+;4;78,39,63,151;0,3020,4536,29508;13;RBPMS;uc011lba.1;chr8:30242674-30332294|chr8:30361953-30402010
chr9;6880011;6893232;+;3;50,104,138;0,7948,13083;13;KDM4C;NM_001146696;chr9:6849700-6880011|chr9:6893232-6980924
chr10;70404454;70406762;+;1;2308;0;12;TET1;NM_030625;chr10:70360791-70404454|chr10:70406762-70411602
chr10;7318853;7327916;-;3;98,247,89;0,7012,8974;12;SFMBT2;NM_001018039;chr10:7290611-7318853|chr10:7327916-7409610
chr17;37864573;37866734;+;5;214,135,69,116,142;0,997,1492,1765,2019;12;ERBB2;uc002hsl.3;chr17:37863394-37864573|chr17:37866734-37868180
chr3;171830241;171851336;+;2;139,76;0,21019;12;FNDC3B;uc003fhx.3;chr3:171757561-171830241|chr3:171851336-171904501
chr5;619104;620376;+;2;128,193;0,1079;12;CEP72;uc011clz.1;chr5:612558-619104|chr5:620376-624585
chr7;128845043;128846428;+;4;210,173,220,124;0,407,947,1261;12;SMO;NM_005631;chr7:128843430-128845043|chr7:128846428-128848599
chr9;33971648;33973235;-;2;104,55;0,1532;12;UBAP2;NM_018449;chr9:33963789-33971648|chr9:33973235-33986757
chr1;233270758;233297109;-;4;178,142,151,93;0,4701,25270,26258;11;PCNXL2;uc001hvm.2;chr1:233231609-233270758|chr1:233297109-233313547
chr1;7837219;7838229;+;2;159,52;0,958;11;VAMP3;NM_004781;chr1:7833571-7837219|chr1:7838229-7839685
chr1;8601272;8674745;-;4;105,97,106,126;0,15261,16204,73347;11;RERE;NM_001042681;chr1:8568734-8601272|chr1:8674745-8684368
chr14;97299803;97327072;+;10;165,56,70,88,109,93,133,121,59,179;0,4295,12628,13790,19364,19607,21757,22663,23061,27090;11;VRK1;NM_003384;chr14:97263784-97299803|chr14:97327072-97342366
chr16;47531309;47549512;+;5;90,139,100,108,81;0,2357,5592,14266,18122;11;PHKB;uc010vgi.1;chr16:47497904-47531309|chr16:47549512-47581343
chr18;19345732;19359646;+;5;172,130,105,67,205;0,2851,7852,12331,13709;11;MIB1;uc002ktp.3;chr18:19285084-19345732|chr18:19359646-19371295
chr20;34302106;34313077;-;5;205,66,138,153,118;0,2555,7555,10385,10853;11;RBM39;uc002xdz.3;chr20:34301018-34302106|chr20:34313077-34317233
chr22;46085591;46114373;+;5;192,83,97,159,81;0,3284,10570,12977,28701;11;ATXN10;NM_013236;chr22:46068059-46085591|chr22:46114373-46125304
chr22;46085591;46136418;+;8;192,83,97,159,81,166,109,170;0,3284,10570,12977,28701,39713,49019,50657;11;ATXN10;NM_013236;chr22:46068059-46085591|chr22:46136418-46202838
chr22;46125304;46136418;+;3;166,109,170;0,9306,10944;11;ATXN10;NM_001167621;chr22:46114373-46125304|chr22:46136418-46202838
chr3;125032151;125050082;-;3;349,136,81;0,10001,17850;11;ZNF148;NM_021964;chr3:125007072-125032151|chr3:125050082-125093945
chr4;87967317;87968746;+;2;121,900;0,529;11;AFF1;uc003hqh.2;chr4:87869723-87967317|chr4:87968746-88005274
chr5;80419460;80422982;+;2;126,90;0,3432;11;RASGRF2;NM_006909;chr5:80409739-80419460|chr5:80422982-80475993
chr5;82832825;82850857;+;5;5262,114,114,159,83;0,8530,10964,16357,17949;11;VCAN;NM_001164097;chr5:82808215-82832825|chr5:82850857-82868234
chr7;26232870;26232993;-;1;123;0;11;HNRNPA2B1;NM_002137;chr7:26232197-26232870|chr7:26232993-26233194
chr10;5827104;5842668;-;4;132,199,100,108;0,710,11621,15456;10;GDI2;NM_001115156;chr10:5815904-5827104|chr10:5842668-5855176
chr14;21698477;21702388;-;3;48,115,277;0,639,3634;10;HNRNPC;NM_001077442;chr14:21681276-21698477|chr14:21702388-21737456
chr18;56601664;56621031;+;4;182,177,163,282;0,5012,13634,19085;10;ZNF532;NM_018181;chr18:56587865-56601664|chr18:56621031-56646286
chr19;30476129;30477324;+;2;79,136;0,1059;10;URI1;NM_001252641;chr19:30462134-30476129|chr19:30477324-30496267
chr2;100078957;100081447;-;2;127,64;0,2426;10;REV1;NM_001037872;chr2:100065966-100078957|chr2:100081447-100106278
chr2;106761645;106782539;-;5;181,61,44,64,28;0,12868,18477,19546,20866;10;UXS1;NM_001253875;chr2:106746234-106761645|chr2:106782539-106810603
chr2;240929490;240946787;-;3;109,86,55;0,15136,17242;10;NDUFA10;NM_004544;chr2:240900603-240929490|chr2:240946787-240951033
chr20;30954186;30956926;+;2;83,112;0,2628;10;ASXL1;NM_001164603;chr20:30946635-30954186|chr20:30956926-30959966
chr22;42204878;42206295;+;3;119,122,85;0,1004,1332;10;CCDC134;NM_024821;chr22:42196770-42204878|chr22:42206295-42209267
chr3;169854206;169867032;-;3;247,99,159;0,9004,12667;10;PHC3;uc010hws.1;chr3:169847340-169854206|chr3:169867032-169889160
chr4;121675707;121732604;-;7;86,94,161,94,158,85,80;0,22635,26590,30445,43714,45108,56817;10;PRDM5;NM_018699;chr4:121631568-121675707|chr4:121732604-121737607
chr4;146767107;146770713;-;2;58,240;0,3366;10;ZNF827;NM_178835;chr4:146744677-146767107|chr4:146770713-146791396
chr4;4650703;4651269;+;2;133,170;0,396;10;LOC100507266;uc003gid.3;chr4:4546634-4650703|chr4:4651269-4707399
chr5;32135677;32143986;-;2;115,132;0,8177;10;GOLPH3;NM_022130;chr5:32126742-32135677|chr5:32143986-32173915
chr5;78734832;78752841;-;4;140,93,132,157;0,8043,11980,17852;10;HOMER1;NM_001277078;chr5:78672020-78734832|chr5:78752841-78808592
chr9;114148656;114154104;-;4;80,168,118,69;0,3179,3607,5379;10;KIAA0368;NM_001080398;chr9:114147722-114148656|chr9:114154104-114155047
chr9;33953282;33963789;-;4;190,68,53,66;0,2794,7541,10441;10;UBAP2;uc011loc.1;chr9:33948585-33953282|chr9:33963789-33986757
chr1;117944807;117963271;+;4;256,97,119,81;0,3363,12527,18383;9;MAN1A2;NM_006699;chr1:117911107-117944807|chr1:117963271-117984852
chr1;156303337;156304709;-;3;97,63,51;0,1166,1321;9;CCT3;NM_005998;chr1:156294880-156303337|chr1:156304709-156305617
chr1;231672958;231678357;+;2;115,131;0,5268;9;TSNAX;NM_005999;chr1:231665105-231672958|chr1:231678357-231696873
chr10;103427642;103436193;-;4;95,133,186,96;0,5029,5602,8455;9;FBXW4;NM_022039;chr10:103384567-103427642|chr10:103436193-103454137
chr10;126631025;126631876;+;1;851;0;9;ZRANB1;uc010qug.2;chr10:126629116-126631025|chr10:126631876-126655162
chr15;67524151;67529158;-;4;84,90,97,191;0,4165,4594,4816;9;AAGAB;NM_001271886;chr15:67501882-67524151|chr15:67529158-67546751
chr17;65941524;65972074;+;7;488,83,226,335,193,85,187;0,2317,2672,14132,18803,21163,30363;9;BPTF;NM_004459;chr17:65940488-65941524|chr17:65972074-65978367
chr18;21644103;21649235;+;3;49,129,115;0,1872,5017;9;TTC39C;NM_153211;chr18:21573002-21644103|chr18:21649235-21660548
chr19;18650180;18650530;-;2;89,170;0,180;9;FKBP8;uc010xqi.1;chr19:18649243-18650180|chr19:18650530-18652488
chr2;61749745;61753656;-;2;73,102;0,3809;9;XPO1;uc010fcl.3;chr2:61729445-61749745|chr2:61753656-61760906
chr3;31917924;31921322;-;2;80,176;0,3222;9;OSBPL10;NM_001174060;chr3:31789612-31917924|chr3:31921322-32022390
chr5;138614015;138614818;+;2;82,79;0,724;9;SNHG4;NR_036536;chr5:138611839-138614015|chr5:138614818-138618427
chr5;176370335;176385155;-;4;154,104,77,62;0,8139,12624,14758;9;UIMC1;NM_016290;chr5:176338390-176370335|chr5:176385155-176395555
chr6;161455290;161471011;+;2;191,1364;0,14357;9;MAP3K4;uc010kkc.2;chr6:161413115-161455290|chr6:161471011-161491639
chr6;87925620;87928449;+;3;155,79,136;0,396,2693;9;ZNF292;NM_015021;chr6:87865477-87925620|chr6:87928449-87943042
chr9;37424841;37426651;+;3;131,73,117;0,1077,1693;9;GRHPR;uc010mlu.4;chr9:37422802-37424841|chr9:37426651-37428480
chr1;205585605;205593019;-;4;167,117,873,216;0,2479,3488,7198;8;ELK4;uc021pid.1;chr1:205572481-205585605|chr1:205593019-205600759
chr1;233225806;233231609;-;2;130,109;0,5694;8;PCNXL2;uc001hvm.2;chr1:233193036-233225806|chr1:233231609-233270758
chr1;233334684;233372726;-;7;92,111,172,33,154,146,136;0,1215,9579,18960,19092,28287,37906;8;PCNXL2;NM_014801;chr1:233314921-233334684|chr1:233372726-233386484
chr1;9991948;9994918;-;3;82,96,99;0,912,2871;8;LZIC;NM_032368;chr1:9990515-9991948|chr1:9994918-9995549
chr11;36248634;36248980;+;1;346;0;8;LDLRAD3;NM_174902;chr11:36120011-36248634|chr11:36248980-36250709
chr11;62406454;62407203;-;2;128,105;0,644;8;GANAB;NM_001278194;chr11:62402472-62406454|chr11:62407203-62414033
chr12;1136913;1137738;+;1;825;0;8;ERC1;NM_178039;chr12:1100488-1136913|chr12:1137738-1192329
chr12;120592773;120593523;-;3;71,190,128;0,271,622;8;GCN1L1;NM_006836;chr12:120591713-120592773|chr12:120593523-120594264
chr14;55168779;55169298;+;1;519;0;8;SAMD4A;NM_001161576;chr14:55034830-55168779|chr14:55169298-55215532
chr15;101775286;101775782;-;1;496;0;8;CHSY1;NM_014918;chr15:101719185-101775286|chr15:101775782-101791341
chr15;41961025;41962156;+;1;1131;0;8;MGA;uc001zog.1;chr15:41913787-41961025|chr15:41962156-41988272
chr16;68155889;68157024;+;1;1135;0;8;NFATC3;uc010vkl.2;chr16:68119083-68155889|chr16:68157024-68160350
chr18;60497267;60497464;+;1;197;0;8;PHLPP1;NM_194449;chr18:60384492-60497267|chr18:60497464-60506016
chr19;5604593;5604947;-;2;113,150;0,204;8;SAFB2;NM_014649;chr19:5600271-5604593|chr19:5604947-5610005
chr2;58449076;58459247;-;4;101,57,61,59;0,4786,7872,10112;8;FANCL;NM_001114636;chr2:58431361-58449076|chr2:58459247-58468352
chr2;61712902;61717911;-;4;195,107,184,135;0,2397,2820,4874;8;XPO1;uc002sbh.3;chr2:61711240-61712902|chr2:61717911-61719169
chr2;9083315;9098771;-;2;78,146;0,15310;8;MBOAT2;NM_138799;chr2:9048846-9083315|chr2:9098771-9143668
chr21;46548316;46554747;+;4;172,92,124,118;0,3813,5157,6313;8;ADARB1;uc002zgp.2;chr21:46540874-46548316|chr21:46554747-46564545
chr3;171965322;171969331;+;2;244,282;0,3727;8;FNDC3B;NM_022763;chr3:171944737-171965322|chr3:171969331-172003715
chr4;54280781;54294350;+;3;108,94,157;0,11257,13412;8;FIP1L1;NM_001134937;chr4:54266006-54280781|chr4:54294350-54306748
chr4;79158663;79166479;+;2;108,93;0,7723;8;FRAS1;NM_001166133;chr4:78987170-79158663|chr4:79166479-79173545
chr5;68470703;68471364;+;2;237,141;0,520;8;CCNB1;NM_031966;chr5:68470236-68470703|chr5:68471364-68473065
chr5;72157634;72161556;+;2;107,134;0,3788;8;TNPO1;uc011csj.1;chr5:72147146-72157634|chr5:72161556-72168465
chr6;18236682;18258636;-;7;149,136,189,121,95,110,102;0,929,13199,19279,19909,21501,21852;8;DEK;NM_003472;chr6:18226473-18236682|chr6:18258636-18264073
chr6;34100754;34101636;-;1;882;0;8;GRM4;NM_000841;chr6:34059876-34100754|chr6:34101636-34113776
chr6;3410421;3416089;-;2;155,104;0,5564;8;SLC22A23;NM_021945;chr6:3324236-3410421|chr6:3416089-3432327
chr6;83667030;83754378;-;6;139,164,109,70,70,232;0,61661,65141,66657,81104,87116;8;UBE3D;NM_198920;chr6:83602761-83667030|chr6:83754378-83763866
chr7;140055467;140058585;-;2;97,146;0,2972;8;SLC37A3;NM_032295;chr7:140051946-140055467|chr7:140058585-140064207
chr7;148851036;148851432;+;1;396;0;8;ZNF398;NM_020781;chr7:148826036-148851036|chr7:148851432-148863249
chr7;155465560;155473602;+;3;49,77,319;0,5741,7723;8;RBM33;uc003wme.3;chr7:155457947-155465560|chr7:155473602-155493466
chr7;24663284;24690331;+;4;119,153,153,228;0,18050,25946,26819;8;MPP6;NM_016447;chr7:24659839-24663284|chr7:24690331-24703208
chr7;97820039;97823884;+;2;150,2959;0,886;8;LMTK2;NM_014916;chr7:97816310-97820039|chr7:97823884-97832885
chr8;18656804;18662408;-;4;59,113,81,195;0,1975,5227,5409;8;PSD3;NM_206909;chr8:18623048-18656804|chr8:18662408-18666264
chr8;61653817;61655656;+;1;1839;0;8;CHD7;NM_017780;chr8:61591641-61653817|chr8:61655656-61693558
chr1;117944807;117957453;+;3;256,97,119;0,3363,12527;7;MAN1A2;NM_006699;chr1:117911107-117944807|chr1:117957453-117963190
chr1;8555122;8674745;-;7;100,125,49,105,97,106,126;0,2342,13563,46150,61411,62354,119497;7;RERE;NM_001042681;chr1:8526083-8555122|chr1:8674745-8684368
chr1;8716031;8716500;-;1;469;0;7;RERE;NM_001042681;chr1:8684439-8716031|chr1:8716500-8877218
chr10;126727565;126799662;-;2;159,104;0,71993;7;CTBP2;uc009yak.3;chr10:126692061-126727565|chr10:126799662-126847203
chr11;12785725;12785981;+;1;256;0;7;TEAD1;NM_021961;chr11:12697108-12785725|chr11:12785981-12883796
chr12;69644908;69656342;+;8;210,104,146,174,505,116,154,190;0,1922,5568,6603,7461,8299,8915,11244;7;CPSF6;NM_007007;chr12:69633486-69644908|chr12:69656342-69663291
chr13;45725821;45781640;+;2;145,82;0,55737;7;GTF2F2;NM_004128;chr13:45723923-45725821|chr13:45781640-45827005
chr14;21971315;21972024;-;2;405,218;0,491;7;METTL3;NM_019852;chr14:21970045-21971315|chr14:21972024-21979265
chr14;32559707;32586493;+;2;3885,148;0,26638;7;ARHGAP5;uc001wrl.3;chr14:32546259-32559707|chr14:32586493-32615468
chr14;73614502;73614814;+;2;82,140;0,172;7;PSEN1;uc001xnq.4;chr14:73603291-73614502|chr14:73614814-73637504
chr18;9182379;9221997;+;7;138,148,69,147,201,143,148;0,13169,22094,26275,29202,34376,39470;7;ANKRD12;uc010wzn.2;chr18:9136963-9182379|chr18:9221997-9235635
chr19;34922765;34925873;+;3;71,65,101;0,1487,3007;7;UBA2;NM_005499;chr19:34921564-34922765|chr19:34925873-34929549
chr19;3660963;3661999;-;2;118,131;0,905;7;PIP5K1C;NM_001195733;chr19:3656555-3660963|chr19:3661999-3664819
chr19;47865732;47865950;+;1;218;0;7;DHX34;NM_014681;chr19:47863327-47865732|chr19:47865950-47870237
chr2;122363276;122363756;-;1;480;0;7;CLASP1;NM_001142273;chr2:122287901-122363276|chr2:122363756-122406947
chr2;148653869;148657467;+;3;208,110,155;0,3157,3443;7;ACVR2A;uc002twg.3;chr2:148602776-148653869|chr2:148657467-148672759
chr2;29006772;29011675;+;2;72,152;0,4751;7;PPP1CB;uc010ymj.2;chr2:29004708-29006772|chr2:29011675-29016728
chr2;36623756;36669878;+;3;174,243,121;0,44644,46001;7;CRIM1;NM_016441;chr2:36583766-36623756|chr2:36669878-36691676
chr2;43655238;43657441;-;2;132,90;0,2113;7;THADA;NM_001083953;chr2:43625278-43655238|chr2:43657441-43712372
chr2;63660878;63667005;-;3;192,134,115;0,3676,6012;7;WDPCP;NM_015910;chr2:63631792-63660878|chr2:63667005-63711737
chr20;32207322;32211102;+;2;90,182;0,3598;7;CBFA2T2;uc010zug.1;chr20:32078107-32207322|chr20:32211102-32212569
chr20;62407030;62422143;-;2;285,970;0,14143;7;ZBTB46;NM_025224;chr20:62384214-62407030|chr20:62422143-62436688
chr22;42204878;42209826;+;5;119,122,85,182,72;0,1004,1332,4389,4876;7;CCDC134;NM_024821;chr22:42196770-42204878|chr22:42209826-42221701
chr22;46085591;46098727;+;4;192,83,97,159;0,3284,10570,12977;7;ATXN10;NM_013236;chr22:46068059-46085591|chr22:46098727-46114292
chr3;119219541;119222868;+;3;166,89,68;0,2837,3259;7;TIMMDC1;NM_016589;chr3:119217774-119219541|chr3:119222868-119232487
chr4;113483526;113511030;-;8;115,144,140,197,185,139,650,151;0,760,19292,21607,23170,24074,24909,27353;7;C4orf21;NM_018392;chr4:113482151-113483526|chr4:113511030-113524679
chr4;1902352;1906105;+;2;626,163;0,3590;7;WHSC1;uc003gdx.3;chr4:1873269-1902352|chr4:1906105-1918597
chr4;56277780;56284152;+;3;226,176,183;0,5458,6189;7;TMEM165;NM_018475;chr4:56262563-56277780|chr4:56284152-56290704
chr4;73956383;73958017;-;1;1634;0;7;ANKRD17;uc003hgo.3;chr4:73951163-73956383|chr4:73958017-73959795
chr4;88116475;88116842;-;1;367;0;7;KLHL8;uc011cdb.1;chr4:88106951-88116475|chr4:88116842-88141186
chr5;128861976;128864370;+;3;173,84,158;0,1464,2236;7;ADAMTS19;NM_133638;chr5:128844935-128861976|chr5:128864370-128887556
chr5;179688683;179707608;-;4;139,59,130,169;0,3097,7596,18756;7;MAPK9;NM_002752;chr5:179676138-179688683|chr5:179707608-179718847
chr5;74134789;74137504;-;3;86,100,135;0,1109,2580;7;FAM169A;NR_046462;chr5:74109844-74134789|chr5:74137504-74161989
chr6;42941740;42942776;-;2;84,164;0,872;7;PEX6;NM_000287;chr6:42937725-42941740|chr6:42942776-42946006
chr6;90461149;90472249;-;8;152,111,148,114,97,145,104,212;0,2081,2652,4846,6824,7385,10214,10888;7;MDN1;NM_014611;chr6:90460251-90461149|chr6:90472249-90481279
chr7;100410368;100410830;-;2;248,114;0,348;7;EPHB4;uc003uwm.1;chr7:100405202-100410368|chr7:100410830-100411273
chr7;135262543;135277940;+;7;229,165,176,117,138,151,206;0,955,7036,9779,10059,13654,15191;7;NUP205;NM_015135;chr7:135261876-135262543|chr7:135277940-135279294
chr9;103082546;103111654;-;10;134,89,178,176,136,239,113,244,713,189;0,1418,6037,7522,8875,9666,19992,25807,26429,28919;7;TEX10;NM_017746;chr9:103072661-103082546|chr9:103111654-103115053
chr9;113734352;113735838;-;2;148,78;0,1408;7;LPAR1;uc004bfa.3;chr9:113704448-113734352|chr9:113735838-113761672
chr9;115336336;115337531;+;1;1195;0;7;KIAA1958;NM_133465;chr9:115249398-115336336|chr9:115337531-115407929
