Chromosome,Start,End,Strand,H9_JReads,FB_JReads,geneName,H9_RPKM,FB_RPKM,log2FoldChange_mRNA,log2FoldChange_circ,Total_Sites_Per_circ,Effective_sites,quartile
chr1,8601272,8674745,-,12,69,RERE,7.68,12.32,0.6818240399737453,2.523561956057013,11,445.5,+++ sites
chr1,8616533,8617582,-,1,2,RERE,7.68,12.32,0.6818240399737453,1,6,9,+ sites
chr1,8616533,8674745,-,2,2,RERE,7.68,12.32,0.6818240399737453,0,6,12,++ sites
chr1,9415801,9416644,+,1,2,SPSB1,0.18,0.32,0.8300749985576877,1,1,1.5,- sites
chr1,9809518,9811739,-,1,2,CLSTN1,9.4,21.05,1.1630875713887587,1,10,15,++ sites
chr1,10155518,10165802,+,1,4,UBE4B,20.75,12.16,-0.7709681076780639,2,2,5,+ sites
chr1,10155518,10182134,+,1,2,UBE4B,20.75,12.16,-0.7709681076780639,1,10,15,++ sites
chr1,10177516,10179671,+,1,2,UBE4B,20.75,12.16,-0.7709681076780639,1,8,12,++ sites
chr1,10204997,10211619,+,1,2,UBE4B,20.75,12.16,-0.7709681076780639,1,7,10.5,+ sites
chr1,10209241,10221344,+,1,2,UBE4B,20.75,12.16,-0.7709681076780639,1,1,1.5,- sites
chr1,10292307,10332364,+,1,2,KIF1B,13.1,53.14,2.020231416065694,1,10,15,++ sites
chr1,10292307,10338186,+,1,2,KIF1B,13.1,53.14,2.020231416065694,1,16,24,++ sites
chr1,10292307,10342591,+,1,2,KIF1B,13.1,53.14,2.020231416065694,1,16,24,++ sites
chr1,10292307,10357304,+,1,2,KIF1B,13.1,53.14,2.020231416065694,1,17,25.5,+++ sites
chr1,10292307,10412794,+,1,2,KIF1B,13.1,53.14,2.020231416065694,1,20,30,+++ sites
chr1,10318550,10342591,+,1,2,KIF1B,13.1,53.14,2.020231416065694,1,16,24,++ sites
chr1,10321962,10328321,+,1,4,KIF1B,13.1,53.14,2.020231416065694,2,8,20,++ sites
chr1,10321962,10332364,+,1,2,KIF1B,13.1,53.14,2.020231416065694,1,8,12,++ sites
chr1,10321962,10408791,+,1,2,KIF1B,13.1,53.14,2.020231416065694,1,18,27,+++ sites
chr1,10327437,10328321,+,1,3,KIF1B,13.1,53.14,2.020231416065694,1.584962500721156,8,16,++ sites
chr1,10335485,10338186,+,1,2,KIF1B,13.1,53.14,2.020231416065694,1,6,9,+ sites
chr1,10352104,10357304,+,1,2,KIF1B,13.1,53.14,2.020231416065694,1,1,1.5,- sites
chr1,10380100,10384953,+,1,3,KIF1B,13.1,53.14,2.020231416065694,1.584962500721156,2,4,- sites
chr1,10423340,10435431,+,1,3,KIF1B,13.1,53.14,2.020231416065694,1.584962500721156,1,2,- sites
chr1,10463127,10473308,+,1,3,PGD,67.71,51.63,-0.39115932115163227,1.584962500721156,1,2,- sites
chr1,10527246,10529395,-,1,2,DFFA,11.58,4.54,-1.3508710506983217,1,1,1.5,- sites
chr1,11181302,11193254,-,1,2,MTOR,13.63,9.23,-0.5623830091594353,1,3,4.5,- sites
chr1,11184554,11193254,-,1,2,MTOR,13.63,9.23,-0.5623830091594353,1,3,4.5,- sites
chr1,11893933,11897213,+,1,2,CLCN6,2.84,6.09,1.1005512984016503,1,1,1.5,- sites
chr1,12049221,12052747,+,1,3,MFN2,13.25,14.04,0.08355057596663669,1.584962500721156,23,46,+++ sites
chr1,12333059,12338095,+,1,2,VPS13D,5.24,6.06,0.20975098193550062,1,11,16.5,++ sites
chr1,12335881,12338095,+,1,4,VPS13D,5.24,6.06,0.20975098193550062,2,10,25,++ sites
chr1,12359258,12359441,+,1,2,VPS13D,5.24,6.06,0.20975098193550062,1,3,4.5,- sites
chr1,12359258,12368698,+,2,3,VPS13D,5.24,6.06,0.20975098193550062,0.5849625007211562,8,20,++ sites
chr1,12359258,12382021,+,1,2,VPS13D,5.24,6.06,0.20975098193550062,1,9,13.5,++ sites
chr1,12359258,12406709,+,1,2,VPS13D,5.24,6.06,0.20975098193550062,1,22,33,+++ sites
chr1,12382592,12423303,+,1,2,VPS13D,5.24,6.06,0.20975098193550062,1,20,30,+++ sites
chr1,14095612,14099683,+,1,2,PRDM2,3.74,8.71,1.219634448711228,1,5,7.5,+ sites
chr1,14099572,14109326,+,1,7,PRDM2,3.74,8.71,1.219634448711228,2.807354922057604,29,116,+++ sites
chr1,15855582,15871078,+,1,2,DNAJC16,4.91,3.98,-0.3029545937710442,1,21,31.5,+++ sites
chr1,15860731,15863309,+,1,3,DNAJC16,4.91,3.98,-0.3029545937710442,1.584962500721156,21,42,+++ sites
chr1,16199310,16203173,+,3,5,SPEN,6.39,15.07,1.2377915806508295,0.7369655941662062,31,124,+++ sites
chr1,16245420,16247478,+,1,2,SPEN,6.39,15.07,1.2377915806508295,1,8,12,++ sites
chr1,16464347,16464925,-,2,2,EPHA2,1.53,0.84,-0.8650704199138917,0,3,6,+ sites
chr1,19483260,19486775,-,1,2,UBR4,19.01,13.42,-0.5023738604483687,1,5,7.5,+ sites
chr1,19495928,19505714,-,1,2,UBR4,19.01,13.42,-0.5023738604483687,1,23,34.5,+++ sites
chr1,19499357,19501527,-,1,2,UBR4,19.01,13.42,-0.5023738604483687,1,13,19.5,++ sites
chr1,19503085,19514034,-,1,3,UBR4,19.01,13.42,-0.5023738604483687,1.584962500721156,6,12,++ sites
chr1,19518681,19519034,-,2,2,UBR4,19.01,13.42,-0.5023738604483687,0,4,8,+ sites
chr1,19519926,19523759,-,1,4,UBR4,19.01,13.42,-0.5023738604483687,2,4,10,+ sites
chr1,21071236,21100103,-,1,2,HP1BP3,33.51,106.99,1.6748123673582467,1,13,19.5,++ sites
chr1,21076215,21100103,-,2,14,HP1BP3,33.51,106.99,1.6748123673582467,2.807354922057604,12,96,+++ sites
chr1,21083658,21100103,-,1,10,HP1BP3,33.51,106.99,1.6748123673582467,3.321928094887362,9,49.5,+++ sites
chr1,21083658,21103243,-,1,8,HP1BP3,33.51,106.99,1.6748123673582467,3,18,81,+++ sites
chr1,21083658,21106401,-,1,2,HP1BP3,33.51,106.99,1.6748123673582467,1,20,30,+++ sites
chr1,21091869,21100103,-,1,3,HP1BP3,33.51,106.99,1.6748123673582467,1.584962500721156,8,16,++ sites
chr1,21097422,21100103,-,4,7,HP1BP3,33.51,106.99,1.6748123673582467,0.8073549220576041,5,27.5,+++ sites
chr1,21097422,21103243,-,2,4,HP1BP3,33.51,106.99,1.6748123673582467,1,14,42,+++ sites
chr1,21137230,21139732,-,1,2,EIF4G3,24.25,31.81,0.39149562457766085,1,16,24,++ sites
chr1,21143884,21183990,-,1,2,EIF4G3,24.25,31.81,0.39149562457766085,1,17,25.5,+++ sites
chr1,21155639,21221994,-,1,2,EIF4G3,24.25,31.81,0.39149562457766085,1,5,7.5,+ sites
chr1,21167348,21191755,-,1,2,EIF4G3,24.25,31.81,0.39149562457766085,1,2,3,- sites
chr1,21167348,21212864,-,1,3,EIF4G3,24.25,31.81,0.39149562457766085,1.584962500721156,4,8,+ sites
chr1,21231375,21268823,-,1,4,EIF4G3,24.25,31.81,0.39149562457766085,2,22,55,+++ sites
chr1,21267983,21268823,-,1,3,EIF4G3,24.25,31.81,0.39149562457766085,1.584962500721156,21,42,+++ sites
chr1,21267983,21306941,-,1,2,EIF4G3,24.25,31.81,0.39149562457766085,1,21,31.5,+++ sites
chr1,21267983,21307720,-,1,4,EIF4G3,24.25,31.81,0.39149562457766085,2,21,52.5,+++ sites
chr1,21276495,21415706,-,1,2,EIF4G3,24.25,31.81,0.39149562457766085,1,6,9,+ sites
chr1,21295966,21329301,-,5,15,EIF4G3,24.25,31.81,0.39149562457766085,1.584962500721156,2,20,++ sites
chr1,21295966,21377487,-,1,3,EIF4G3,24.25,31.81,0.39149562457766085,1.584962500721156,2,4,- sites
chr1,21306826,21329301,-,1,5,EIF4G3,24.25,31.81,0.39149562457766085,2.321928094887362,2,6,+ sites
chr1,21306826,21377487,-,1,2,EIF4G3,24.25,31.81,0.39149562457766085,1,2,3,- sites
chr1,21324093,21329301,-,1,16,EIF4G3,24.25,31.81,0.39149562457766085,4,2,17,++ sites
chr1,21324093,21377487,-,1,7,EIF4G3,24.25,31.81,0.39149562457766085,2.807354922057604,2,8,+ sites
chr1,21329205,21415706,-,1,2,EIF4G3,24.25,31.81,0.39149562457766085,1,5,7.5,+ sites
chr1,21329205,21437876,-,1,3,EIF4G3,24.25,31.81,0.39149562457766085,1.584962500721156,6,12,++ sites
chr1,21377358,21415706,-,3,4,EIF4G3,24.25,31.81,0.39149562457766085,0.41503749927884376,4,14,++ sites
chr1,21377358,21437876,-,4,5,EIF4G3,24.25,31.81,0.39149562457766085,0.32192809488736235,5,22.5,++ sites
chr1,21415630,21437876,-,1,11,EIF4G3,24.25,31.81,0.39149562457766085,3.4594316186372973,1,6,+ sites
chr1,22074630,22078108,-,3,4,USP48,37.04,20.19,-0.8754431879287629,0.41503749927884376,4,14,++ sites
chr1,22404921,22405374,+,1,2,CDC42,93.33,94.99,0.025434747220920196,1,2,3,- sites
chr1,22404921,22413359,+,2,3,CDC42,93.33,94.99,0.025434747220920196,0.5849625007211562,6,15,++ sites
chr1,23356961,23377013,+,16,40,KDM1A,111.03,78.6,-0.4983483238754079,1.3219280948873624,1,28,+++ sites
chr1,23356961,23385660,+,3,12,KDM1A,111.03,78.6,-0.4983483238754079,2,7,52.5,+++ sites
chr1,23376879,23384058,+,1,2,KDM1A,111.03,78.6,-0.4983483238754079,1,4,6,+ sites
chr1,23376879,23385660,+,1,8,KDM1A,111.03,78.6,-0.4983483238754079,3,6,27,+++ sites
chr1,23380253,23384058,+,1,2,KDM1A,111.03,78.6,-0.4983483238754079,1,4,6,+ sites
chr1,23381561,23395644,+,1,3,KDM1A,111.03,78.6,-0.4983483238754079,1.584962500721156,4,8,+ sites
chr1,24130889,24147083,-,1,2,HMGCL,4.04,4.19,0.0525949509475569,1,8,12,++ sites
chr1,24140679,24147083,-,1,4,HMGCL,4.04,4.19,0.0525949509475569,2,7,17.5,++ sites
chr1,24973157,24975520,+,1,2,SRRM1,48.74,28.24,-0.7873661624521606,1,6,9,+ sites
chr1,24989150,24996806,+,1,2,SRRM1,48.74,28.24,-0.7873661624521606,1,7,10.5,+ sites
chr1,24993305,24996806,+,1,2,SRRM1,48.74,28.24,-0.7873661624521606,1,7,10.5,+ sites
chr1,25666964,25669564,+,3,3,TMEM50A,43.62,37.86,-0.2043153589370454,0,6,18,++ sites
chr1,25666964,25678184,+,1,3,TMEM50A,43.62,37.86,-0.2043153589370454,1.584962500721156,7,14,++ sites
chr1,25678116,25683344,+,1,2,TMEM50A,43.62,37.86,-0.2043153589370454,1,1,1.5,- sites
chr1,26581661,26586293,+,1,2,CEP85,0,0,0,1,7,10.5,+ sites
chr1,26594973,26596105,+,1,3,CEP85,0,0,0,1.584962500721156,1,2,- sites
chr1,27056141,27059283,+,4,26,ARID1A,12.13,21.77,0.8437618570676964,2.700439718141092,9,135,+++ sites
chr1,28165209,28169841,+,1,2,PPP1R8,21.38,20.74,-0.04384595890726495,1,4,6,+ sites
chr1,28362054,28374937,-,1,7,EYA3,7.26,7.74,0.0923640181486596,2.807354922057604,10,40,+++ sites
chr1,28362054,28384605,-,1,7,EYA3,7.26,7.74,0.0923640181486596,2.807354922057604,10,40,+++ sites
chr1,28800065,28802803,+,2,5,PHACTR4,13.56,13.41,-0.01604794123187006,1.3219280948873624,21,73.5,+++ sites
chr1,28800065,28807116,+,1,4,PHACTR4,13.56,13.41,-0.01604794123187006,2,21,52.5,+++ sites
chr1,29068914,29070498,+,6,14,YTHDF2,63.25,35.39,-0.8377237180438044,1.222392421336448,34,340,+++ sites
chr1,29313942,29323831,+,1,4,EPB41,18.57,31.97,0.7837449288450993,2,3,7.5,+ sites
chr1,29319841,29323831,+,1,2,EPB41,18.57,31.97,0.7837449288450993,1,3,4.5,- sites
chr1,31413997,31414970,-,1,4,PUM1,24.08,33.22,0.4642166812026742,2,2,5,+ sites
chr1,31413997,31426828,-,1,3,PUM1,24.08,33.22,0.4642166812026742,1.584962500721156,12,24,++ sites
chr1,31437520,31468067,-,1,6,PUM1,24.08,33.22,0.4642166812026742,2.584962500721156,8,28,+++ sites
chr1,31452908,31479949,-,1,2,PUM1,24.08,33.22,0.4642166812026742,1,2,3,- sites
chr1,31465236,31468067,-,6,18,PUM1,24.08,33.22,0.4642166812026742,1.584962500721156,1,12,++ sites
chr1,31465236,31479949,-,2,14,PUM1,24.08,33.22,0.4642166812026742,2.807354922057604,2,16,++ sites
chr1,31465236,31501711,-,1,2,PUM1,24.08,33.22,0.4642166812026742,1,2,3,- sites
chr1,31478699,31479949,-,1,3,PUM1,24.08,33.22,0.4642166812026742,1.584962500721156,1,2,- sites
chr1,31478699,31501711,-,1,2,PUM1,24.08,33.22,0.4642166812026742,1,1,1.5,- sites
chr1,31740717,31764853,-,1,3,SNRNP40,50.1,26.99,-0.8923856266157194,1.584962500721156,2,4,- sites
chr1,31764759,31766195,-,1,2,SNRNP40,50.1,26.99,-0.8923856266157194,1,11,16.5,++ sites
chr1,32381495,32385259,-,7,42,PTP4A2,66.31,58.99,-0.16875604582463746,2.584962500721156,6,147,+++ sites
chr1,32495898,32498935,+,1,6,KHDRBS1,139.17,128.74,-0.1123878780612812,2.584962500721156,1,3.5,- sites
chr1,32495898,32502644,+,1,4,KHDRBS1,139.17,128.74,-0.1123878780612812,2,3,7.5,+ sites
chr1,32495898,32504220,+,2,5,KHDRBS1,139.17,128.74,-0.1123878780612812,1.3219280948873624,9,31.5,+++ sites
chr1,32495898,32510991,+,2,4,KHDRBS1,139.17,128.74,-0.1123878780612812,1,24,72,+++ sites
chr1,32502510,32504220,+,2,4,KHDRBS1,139.17,128.74,-0.1123878780612812,1,8,24,++ sites
chr1,32502510,32505174,+,1,5,KHDRBS1,139.17,128.74,-0.1123878780612812,2.321928094887362,8,24,++ sites
chr1,32620188,32632897,+,1,2,KPNA6,20.94,11.1,-0.9157017656933403,1,5,7.5,+ sites
chr1,32627547,32632897,+,1,2,KPNA6,20.94,11.1,-0.9157017656933403,1,2,3,- sites
chr1,32792539,32793278,+,1,3,HDAC1,49.26,31.89,-0.6273125302467001,1.584962500721156,1,2,- sites
chr1,33097427,33100393,-,1,2,ZBTB8OS,38.78,18.2,-1.091374353020734,1,8,12,++ sites
chr1,33099245,33099673,-,1,2,ZBTB8OS,38.78,18.2,-1.091374353020734,1,8,12,++ sites
chr1,33099245,33100393,-,2,4,ZBTB8OS,38.78,18.2,-1.091374353020734,1,8,24,++ sites
chr1,33133825,33138502,+,1,3,RBBP4,53.66,65.8,0.2942405293620826,1.584962500721156,7,14,++ sites
chr1,33276191,33276658,-,1,2,YARS,68.82,27.7,-1.3129419158004305,1,4,6,+ sites
chr1,35457834,35478182,-,1,2,ZMYM6,4.9,6.8,0.47275299713513097,1,1,1.5,- sites
chr1,35561419,35563167,+,1,4,ZMYM1,13.22,8.23,-0.6837578410860661,2,1,2.5,- sites
chr1,35824525,35836228,+,1,2,ZMYM4,27.78,35.5,0.35377242529801417,1,1,1.5,- sites
chr1,35846859,35854683,+,1,5,ZMYM4,27.78,35.5,0.35377242529801417,2.321928094887362,14,42,+++ sites
chr1,35846859,35855699,+,1,3,ZMYM4,27.78,35.5,0.35377242529801417,1.584962500721156,14,28,+++ sites
chr1,35846859,35859340,+,1,2,ZMYM4,27.78,35.5,0.35377242529801417,1,15,22.5,++ sites
chr1,35846859,35865177,+,1,3,ZMYM4,27.78,35.5,0.35377242529801417,1.584962500721156,16,32,+++ sites
chr1,35846859,35873760,+,1,2,ZMYM4,27.78,35.5,0.35377242529801417,1,18,27,+++ sites
chr1,35851042,35854683,+,1,3,ZMYM4,27.78,35.5,0.35377242529801417,1.584962500721156,12,24,++ sites
chr1,35851042,35855699,+,1,2,ZMYM4,27.78,35.5,0.35377242529801417,1,12,18,++ sites
chr1,35851042,35859340,+,1,2,ZMYM4,27.78,35.5,0.35377242529801417,1,13,19.5,++ sites
chr1,35855548,35865177,+,1,2,ZMYM4,27.78,35.5,0.35377242529801417,1,2,3,- sites
chr1,35857812,35865177,+,1,6,ZMYM4,27.78,35.5,0.35377242529801417,2.584962500721156,2,7,+ sites
chr1,35870623,35881315,+,1,3,ZMYM4,27.78,35.5,0.35377242529801417,1.584962500721156,3,6,+ sites
chr1,35906647,35928314,-,1,2,KIAA0319L,13.33,10.85,-0.2969817377571315,1,6,9,+ sites
chr1,35913773,35921842,-,1,2,KIAA0319L,13.33,10.85,-0.2969817377571315,1,4,6,+ sites
chr1,35919157,35944813,-,1,2,KIAA0319L,13.33,10.85,-0.2969817377571315,1,2,3,- sites
chr1,36367074,36367938,+,1,2,EIF2C1,0,0,0,1,1,1.5,- sites
chr1,36372535,36384024,+,1,4,EIF2C1,0,0,0,2,6,15,++ sites
chr1,38047823,38053096,-,1,2,GNL2,64.38,21.76,-1.5649340202273385,1,10,15,++ sites
chr1,39549838,39759291,+,1,2,MACF1,30.1,22.23,-0.4372555386200743,1,44,66,+++ sites
chr1,39781184,39793025,+,1,2,MACF1,30.1,22.23,-0.4372555386200743,1,20,30,+++ sites
chr1,39789864,39826673,+,1,2,MACF1,30.1,22.23,-0.4372555386200743,1,26,39,+++ sites
chr1,39806173,39806625,+,1,2,MACF1,30.1,22.23,-0.4372555386200743,1,1,1.5,- sites
chr1,39816456,39824936,+,2,3,MACF1,30.1,22.23,-0.4372555386200743,0.5849625007211562,8,20,++ sites
chr1,39835701,39838268,+,3,2,MACF1,30.1,22.23,-0.4372555386200743,-0.5849625007211563,2,5,+ sites
chr1,39844132,39847824,+,1,2,MACF1,30.1,22.23,-0.4372555386200743,1,1,1.5,- sites
chr1,39895498,39896580,+,1,2,MACF1,30.1,22.23,-0.4372555386200743,1,12,18,++ sites
chr1,39900085,39905172,+,1,2,MACF1,30.1,22.23,-0.4372555386200743,1,12,18,++ sites
chr1,39904945,39905172,+,1,2,MACF1,30.1,22.23,-0.4372555386200743,1,2,3,- sites
chr1,39913103,39914435,+,1,2,MACF1,30.1,22.23,-0.4372555386200743,1,3,4.5,- sites
chr1,40315790,40323089,-,1,2,TRIT1,19.24,13.04,-0.5611649295389644,1,2,3,- sites
chr1,40546068,40558179,-,1,2,PPT1,74.19,26.38,-1.4917801758595493,1,5,7.5,+ sites
chr1,40654726,40656525,+,1,2,RLF,10.06,13.13,0.38423661108735974,1,8,12,++ sites
chr1,40654726,40668286,+,4,18,RLF,10.06,13.13,0.38423661108735974,2.169925001442312,9,99,+++ sites
chr1,40656443,40668286,+,2,2,RLF,10.06,13.13,0.38423661108735974,0,1,2,- sites
chr1,41474465,41475261,+,2,4,CTPS,0,0,0,1,1,3,- sites
chr1,42660560,42664901,-,1,2,FOXJ3,15.45,16.89,0.12856249000964887,1,2,3,- sites
chr1,42660560,42693637,-,1,2,FOXJ3,15.45,16.89,0.12856249000964887,1,7,10.5,+ sites
chr1,42664772,42671534,-,1,2,FOXJ3,15.45,16.89,0.12856249000964887,1,6,9,+ sites
chr1,42730785,42744343,-,2,8,FOXJ3,15.45,16.89,0.12856249000964887,2,2,10,+ sites
chr1,42730785,42789498,-,1,2,FOXJ3,15.45,16.89,0.12856249000964887,1,2,3,- sites
chr1,44750506,44804994,-,3,10,ERI3,9.23,13.22,0.5183196238619175,1.7369655941662063,1,6.5,+ sites
chr1,44773981,44785416,-,2,10,ERI3,9.23,13.22,0.5183196238619175,2.321928094887362,1,6,+ sites
chr1,44773981,44804994,-,6,14,ERI3,9.23,13.22,0.5183196238619175,1.222392421336448,1,10,+ sites
chr1,46032240,46032692,+,4,5,AKR1A1,27.84,14.36,-0.9551034620256771,0.32192809488736235,5,22.5,++ sites
chr1,46056894,46068037,+,1,2,"NASP",246.76,115.44,-1.095965346439326,1,2,3,- sites
chr1,46056894,46070688,+,1,2,"NASP",246.76,115.44,-1.095965346439326,1,2,3,- sites
chr1,46079767,46082065,+,3,5,"NASP",246.76,115.44,-1.095965346439326,0.7369655941662062,3,12,++ sites
chr1,46124699,46126897,-,1,12,GPBP1L1,43.69,18.39,-1.2483816260322795,3.584962500721156,16,104,+++ sites
chr1,46521466,46543285,-,1,3,PIK3R3,2.84,39.83,3.809892644859504,1.584962500721156,1,2,- sites
chr1,46521466,46546422,-,1,30,PIK3R3,2.84,39.83,3.809892644859504,4.906890595608519,1,15.5,++ sites
chr1,46527600,46546422,-,1,4,PIK3R3,2.84,39.83,3.809892644859504,2,1,2.5,- sites
chr1,47042246,47059952,-,1,2,MKNK1,3.15,2.27,-0.4726595310963638,1,1,1.5,- sites
chr1,47725960,47728788,-,1,2,STIL,13.88,7.25,-0.9369546676759641,1,2,3,- sites
chr1,47725960,47735538,-,1,2,STIL,13.88,7.25,-0.9369546676759641,1,4,6,+ sites
chr1,47745912,47748131,-,4,9,STIL,13.88,7.25,-0.9369546676759641,1.1699250014423124,16,104,+++ sites
chr1,47761436,47767420,-,5,5,STIL,13.88,7.25,-0.9369546676759641,0,7,35,+++ sites
chr1,47761436,47770668,-,1,3,STIL,13.88,7.25,-0.9369546676759641,1.584962500721156,15,30,+++ sites
chr1,47834140,47838779,+,1,2,CMPK1,27.28,41.03,0.5888355098683624,1,1,1.5,- sites
chr1,47834140,47840965,+,1,5,CMPK1,27.28,41.03,0.5888355098683624,2.321928094887362,1,3,- sites
chr1,51032748,51061888,-,1,2,FAF1,21.95,15.86,-0.46882816871874206,1,8,12,++ sites
chr1,51860052,51887530,-,1,2,EPS15,23.59,21.37,-0.14258851057965144,1,2,3,- sites
chr1,51860052,51913807,-,1,3,EPS15,23.59,21.37,-0.14258851057965144,1.584962500721156,3,6,+ sites
chr1,51868106,51874004,-,5,7,EPS15,23.59,21.37,-0.14258851057965144,0.48542682717024166,2,12,++ sites
chr1,51873806,51910717,-,1,2,EPS15,23.59,21.37,-0.14258851057965144,1,1,1.5,- sites
chr1,52211207,52231653,+,3,2,OSBPL9,42.4,24.52,-0.7901052857597799,-0.5849625007211563,3,7.5,+ sites
chr1,52214040,52231653,+,1,2,OSBPL9,42.4,24.52,-0.7901052857597799,1,3,4.5,- sites
chr1,52289335,52299842,-,1,5,NRD1,71.57,47.44,-0.5932509697707318,2.321928094887362,2,6,+ sites
chr1,52293467,52299842,-,3,23,NRD1,71.57,47.44,-0.5932509697707318,2.9385994553358565,2,26,+++ sites
chr1,52698842,52705267,+,1,4,ZFYVE9,12.99,12.64,-0.03940496727077815,2,10,25,++ sites
chr1,52902426,52927441,-,1,2,ZCCHC11,14.41,33.62,1.2222493890614197,1,2,3,- sites
chr1,52903891,52927441,-,1,5,ZCCHC11,14.41,33.62,1.2222493890614197,2.321928094887362,2,6,+ sites
chr1,52911458,52912339,-,1,2,ZCCHC11,14.41,33.62,1.2222493890614197,1,2,3,- sites
chr1,52911458,52926895,-,1,2,ZCCHC11,14.41,33.62,1.2222493890614197,1,2,3,- sites
chr1,52911458,52927441,-,1,4,ZCCHC11,14.41,33.62,1.2222493890614197,2,2,5,+ sites
chr1,52911458,52975384,-,1,2,ZCCHC11,14.41,33.62,1.2222493890614197,1,15,22.5,++ sites
chr1,52930741,52956473,-,1,3,ZCCHC11,14.41,33.62,1.2222493890614197,1.584962500721156,12,24,++ sites
chr1,52930741,52961187,-,1,2,ZCCHC11,14.41,33.62,1.2222493890614197,1,13,19.5,++ sites
chr1,52937623,52975384,-,1,4,ZCCHC11,14.41,33.62,1.2222493890614197,2,13,32.5,+++ sites
chr1,52943379,52954707,-,1,3,ZCCHC11,14.41,33.62,1.2222493890614197,1.584962500721156,2,4,- sites
chr1,52943379,52956473,-,1,2,ZCCHC11,14.41,33.62,1.2222493890614197,1,2,3,- sites
chr1,52943379,52959334,-,1,2,ZCCHC11,14.41,33.62,1.2222493890614197,1,2,3,- sites
chr1,52943379,52962855,-,1,2,ZCCHC11,14.41,33.62,1.2222493890614197,1,3,4.5,- sites
chr1,52954580,52992045,-,1,3,ZCCHC11,14.41,33.62,1.2222493890614197,1.584962500721156,9,18,++ sites
chr1,52956403,52975384,-,1,6,ZCCHC11,14.41,33.62,1.2222493890614197,2.584962500721156,1,3.5,- sites
chr1,52959282,52975384,-,1,30,ZCCHC11,14.41,33.62,1.2222493890614197,4.906890595608519,1,15.5,++ sites
chr1,52975267,52992045,-,1,9,ZCCHC11,14.41,33.62,1.2222493890614197,3.169925001442312,6,30,+++ sites
chr1,52981562,52992045,-,5,10,ZCCHC11,14.41,33.62,1.2222493890614197,1,6,45,+++ sites
chr1,53250548,53262456,+,1,2,ZYG11B,9.34,17.4,0.8975928510264286,1,7,10.5,+ sites
chr1,53267490,53267811,+,1,5,ZYG11B,9.34,17.4,0.8975928510264286,2.321928094887362,8,24,++ sites
chr1,54254805,54298264,-,1,2,TMEM48,0,0,0,1,23,34.5,+++ sites
chr1,54266365,54301293,-,1,2,TMEM48,0,0,0,1,15,22.5,++ sites
chr1,54291470,54298264,-,1,2,TMEM48,0,0,0,1,11,16.5,++ sites
chr1,54506428,54513045,-,1,4,TMEM59,45.52,48.41,0.08880453655427369,2,5,12.5,++ sites
