Chromosome,Start,End,Strand,H9_JReads,geneName,H9_RPKM,log2FoldChange_mRNA,log2FoldChange_circ,Total_Sites_Per_circ,Effective_sites,quartile
chr1,10318550,10342591,+,1,KIF1B,13.1,2.020231416065694,1,16,16,+++ sites
chr1,10321962,10328321,+,1,KIF1B,13.1,2.020231416065694,2,8,8,++ sites
chr1,10321962,10332364,+,1,KIF1B,13.1,2.020231416065694,1,8,8,++ sites
chr1,10321962,10408791,+,1,KIF1B,13.1,2.020231416065694,1,18,18,+++ sites
chr1,10327437,10328321,+,1,KIF1B,13.1,2.020231416065694,1.584962500721156,8,8,++ sites
chr1,10335485,10338186,+,1,KIF1B,13.1,2.020231416065694,1,6,6,+ sites
chr1,10352104,10357304,+,1,KIF1B,13.1,2.020231416065694,1,1,1,- sites
chr1,10380100,10384953,+,1,KIF1B,13.1,2.020231416065694,1.584962500721156,2,2,- sites
chr1,10423340,10435431,+,1,KIF1B,13.1,2.020231416065694,1.584962500721156,1,1,- sites
chr1,10463127,10473308,+,1,PGD,67.71,-0.39115932115163227,1.584962500721156,1,1,- sites
chr1,10527246,10529395,-,1,DFFA,11.58,-1.3508710506983217,1,1,1,- sites
chr1,11181302,11193254,-,1,MTOR,13.63,-0.5623830091594353,1,3,3,- sites
chr1,11184554,11193254,-,1,MTOR,13.63,-0.5623830091594353,1,3,3,- sites
chr1,11893933,11897213,+,1,CLCN6,2.84,1.1005512984016503,1,1,1,- sites
chr1,12049221,12052747,+,1,MFN2,13.25,0.08355057596663669,1.584962500721156,23,23,+++ sites
chr1,12333059,12338095,+,1,VPS13D,5.24,0.20975098193550062,1,11,11,++ sites
chr1,12335881,12338095,+,1,VPS13D,5.24,0.20975098193550062,2,10,10,++ sites
chr1,12359258,12359441,+,1,VPS13D,5.24,0.20975098193550062,1,3,3,- sites
chr1,12359258,12368698,+,2,VPS13D,5.24,0.20975098193550062,0.5849625007211562,8,16,+++ sites
chr1,12359258,12382021,+,1,VPS13D,5.24,0.20975098193550062,1,9,9,++ sites
chr1,12359258,12406709,+,1,VPS13D,5.24,0.20975098193550062,1,22,22,+++ sites
chr1,12382592,12423303,+,1,VPS13D,5.24,0.20975098193550062,1,20,20,+++ sites
chr1,14095612,14099683,+,1,PRDM2,3.74,1.219634448711228,1,5,5,+ sites
chr1,14099572,14109326,+,1,PRDM2,3.74,1.219634448711228,2.807354922057604,29,29,+++ sites
chr1,15855582,15871078,+,1,DNAJC16,4.91,-0.3029545937710442,1,21,21,+++ sites
chr1,15860731,15863309,+,1,DNAJC16,4.91,-0.3029545937710442,1.584962500721156,21,21,+++ sites
chr1,16199310,16203173,+,3,SPEN,6.39,1.2377915806508295,0.7369655941662062,31,93,+++ sites
chr1,16245420,16247478,+,1,SPEN,6.39,1.2377915806508295,1,8,8,++ sites
chr1,16464347,16464925,-,2,EPHA2,1.53,-0.8650704199138917,0,3,6,+ sites
chr1,19483260,19486775,-,1,UBR4,19.01,-0.5023738604483687,1,5,5,+ sites
chr1,19495928,19505714,-,1,UBR4,19.01,-0.5023738604483687,1,23,23,+++ sites
chr1,19499357,19501527,-,1,UBR4,19.01,-0.5023738604483687,1,13,13,++ sites
chr1,19503085,19514034,-,1,UBR4,19.01,-0.5023738604483687,1.584962500721156,6,6,+ sites
chr1,19518681,19519034,-,2,UBR4,19.01,-0.5023738604483687,0,4,8,++ sites
chr1,19519926,19523759,-,1,UBR4,19.01,-0.5023738604483687,2,4,4,+ sites
chr1,21071236,21100103,-,1,HP1BP3,33.51,1.6748123673582467,1,13,13,++ sites
chr1,21076215,21100103,-,2,HP1BP3,33.51,1.6748123673582467,2.807354922057604,12,24,+++ sites
chr1,21083658,21100103,-,1,HP1BP3,33.51,1.6748123673582467,3.321928094887362,9,9,++ sites
chr1,21083658,21103243,-,1,HP1BP3,33.51,1.6748123673582467,3,18,18,+++ sites
chr1,21083658,21106401,-,1,HP1BP3,33.51,1.6748123673582467,1,20,20,+++ sites
chr1,21091869,21100103,-,1,HP1BP3,33.51,1.6748123673582467,1.584962500721156,8,8,++ sites
chr1,21097422,21100103,-,4,HP1BP3,33.51,1.6748123673582467,0.8073549220576041,5,20,+++ sites
chr1,21097422,21103243,-,2,HP1BP3,33.51,1.6748123673582467,1,14,28,+++ sites
chr1,21137230,21139732,-,1,EIF4G3,24.25,0.39149562457766085,1,16,16,+++ sites
chr1,21143884,21183990,-,1,EIF4G3,24.25,0.39149562457766085,1,17,17,+++ sites
chr1,21155639,21221994,-,1,EIF4G3,24.25,0.39149562457766085,1,5,5,+ sites
chr1,21167348,21191755,-,1,EIF4G3,24.25,0.39149562457766085,1,2,2,- sites
chr1,21167348,21212864,-,1,EIF4G3,24.25,0.39149562457766085,1.584962500721156,4,4,+ sites
chr1,21231375,21268823,-,1,EIF4G3,24.25,0.39149562457766085,2,22,22,+++ sites
chr1,21267983,21268823,-,1,EIF4G3,24.25,0.39149562457766085,1.584962500721156,21,21,+++ sites
chr1,21267983,21306941,-,1,EIF4G3,24.25,0.39149562457766085,1,21,21,+++ sites
chr1,21267983,21307720,-,1,EIF4G3,24.25,0.39149562457766085,2,21,21,+++ sites
chr1,21276495,21415706,-,1,EIF4G3,24.25,0.39149562457766085,1,6,6,+ sites
chr1,21295966,21329301,-,5,EIF4G3,24.25,0.39149562457766085,1.584962500721156,2,10,++ sites
chr1,21295966,21377487,-,1,EIF4G3,24.25,0.39149562457766085,1.584962500721156,2,2,- sites
chr1,21306826,21329301,-,1,EIF4G3,24.25,0.39149562457766085,2.321928094887362,2,2,- sites
chr1,21306826,21377487,-,1,EIF4G3,24.25,0.39149562457766085,1,2,2,- sites
chr1,21324093,21329301,-,1,EIF4G3,24.25,0.39149562457766085,4,2,2,- sites
chr1,21324093,21377487,-,1,EIF4G3,24.25,0.39149562457766085,2.807354922057604,2,2,- sites
chr1,21329205,21415706,-,1,EIF4G3,24.25,0.39149562457766085,1,5,5,+ sites
chr1,21329205,21437876,-,1,EIF4G3,24.25,0.39149562457766085,1.584962500721156,6,6,+ sites
chr1,21377358,21415706,-,3,EIF4G3,24.25,0.39149562457766085,0.41503749927884376,4,12,++ sites
chr1,21377358,21437876,-,4,EIF4G3,24.25,0.39149562457766085,0.32192809488736235,5,20,+++ sites
chr1,21415630,21437876,-,1,EIF4G3,24.25,0.39149562457766085,3.4594316186372973,1,1,- sites
chr1,22074630,22078108,-,3,USP48,37.04,-0.8754431879287629,0.41503749927884376,4,12,++ sites
chr1,22404921,22405374,+,1,CDC42,93.33,0.025434747220920196,1,2,2,- sites
chr1,22404921,22413359,+,2,CDC42,93.33,0.025434747220920196,0.5849625007211562,6,12,++ sites
chr1,23356961,23377013,+,16,KDM1A,111.03,-0.4983483238754079,1.3219280948873624,1,16,+++ sites
chr1,23356961,23385660,+,3,KDM1A,111.03,-0.4983483238754079,2,7,21,+++ sites
chr1,23376879,23384058,+,1,KDM1A,111.03,-0.4983483238754079,1,4,4,+ sites
chr1,23376879,23385660,+,1,KDM1A,111.03,-0.4983483238754079,3,6,6,+ sites
chr1,23380253,23384058,+,1,KDM1A,111.03,-0.4983483238754079,1,4,4,+ sites
chr1,23381561,23395644,+,1,KDM1A,111.03,-0.4983483238754079,1.584962500721156,4,4,+ sites
chr1,24130889,24147083,-,1,HMGCL,4.04,0.0525949509475569,1,8,8,++ sites
chr1,24140679,24147083,-,1,HMGCL,4.04,0.0525949509475569,2,7,7,++ sites
chr1,24973157,24975520,+,1,SRRM1,48.74,-0.7873661624521606,1,6,6,+ sites
chr1,24989150,24996806,+,1,SRRM1,48.74,-0.7873661624521606,1,7,7,++ sites
chr1,24993305,24996806,+,1,SRRM1,48.74,-0.7873661624521606,1,7,7,++ sites
chr1,25666964,25669564,+,3,TMEM50A,43.62,-0.2043153589370454,0,6,18,+++ sites
chr1,25666964,25678184,+,1,TMEM50A,43.62,-0.2043153589370454,1.584962500721156,7,7,++ sites
chr1,25678116,25683344,+,1,TMEM50A,43.62,-0.2043153589370454,1,1,1,- sites
chr1,26581661,26586293,+,1,CEP85,0,0,1,7,7,++ sites
chr1,26594973,26596105,+,1,CEP85,0,0,1.584962500721156,1,1,- sites
chr1,27056141,27059283,+,4,ARID1A,12.13,0.8437618570676964,2.700439718141092,9,36,+++ sites
chr1,28165209,28169841,+,1,PPP1R8,21.38,-0.04384595890726495,1,4,4,+ sites
chr1,28362054,28374937,-,1,EYA3,7.26,0.0923640181486596,2.807354922057604,10,10,++ sites
chr1,28362054,28384605,-,1,EYA3,7.26,0.0923640181486596,2.807354922057604,10,10,++ sites
chr1,28800065,28802803,+,2,PHACTR4,13.56,-0.01604794123187006,1.3219280948873624,21,42,+++ sites
chr1,28800065,28807116,+,1,PHACTR4,13.56,-0.01604794123187006,2,21,21,+++ sites
chr1,29068914,29070498,+,6,YTHDF2,63.25,-0.8377237180438044,1.222392421336448,34,204,+++ sites
chr1,29313942,29323831,+,1,EPB41,18.57,0.7837449288450993,2,3,3,- sites
chr1,29319841,29323831,+,1,EPB41,18.57,0.7837449288450993,1,3,3,- sites
chr1,31413997,31414970,-,1,PUM1,24.08,0.4642166812026742,2,2,2,- sites
chr1,31413997,31426828,-,1,PUM1,24.08,0.4642166812026742,1.584962500721156,12,12,++ sites
chr1,31437520,31468067,-,1,PUM1,24.08,0.4642166812026742,2.584962500721156,8,8,++ sites
chr1,31452908,31479949,-,1,PUM1,24.08,0.4642166812026742,1,2,2,- sites
chr1,31465236,31468067,-,6,PUM1,24.08,0.4642166812026742,1.584962500721156,1,6,+ sites
chr1,31465236,31479949,-,2,PUM1,24.08,0.4642166812026742,2.807354922057604,2,4,+ sites
chr1,31465236,31501711,-,1,PUM1,24.08,0.4642166812026742,1,2,2,- sites
chr1,31478699,31479949,-,1,PUM1,24.08,0.4642166812026742,1.584962500721156,1,1,- sites
chr1,31478699,31501711,-,1,PUM1,24.08,0.4642166812026742,1,1,1,- sites
chr1,31740717,31764853,-,1,SNRNP40,50.1,-0.8923856266157194,1.584962500721156,2,2,- sites
chr1,31764759,31766195,-,1,SNRNP40,50.1,-0.8923856266157194,1,11,11,++ sites
chr1,32381495,32385259,-,7,PTP4A2,66.31,-0.16875604582463746,2.584962500721156,6,42,+++ sites
chr1,32495898,32498935,+,1,KHDRBS1,139.17,-0.1123878780612812,2.584962500721156,1,1,- sites
chr1,32495898,32502644,+,1,KHDRBS1,139.17,-0.1123878780612812,2,3,3,- sites
chr1,32495898,32504220,+,2,KHDRBS1,139.17,-0.1123878780612812,1.3219280948873624,9,18,+++ sites
chr1,32495898,32510991,+,2,KHDRBS1,139.17,-0.1123878780612812,1,24,48,+++ sites
chr1,32502510,32504220,+,2,KHDRBS1,139.17,-0.1123878780612812,1,8,16,+++ sites
chr1,32502510,32505174,+,1,KHDRBS1,139.17,-0.1123878780612812,2.321928094887362,8,8,++ sites
chr1,32620188,32632897,+,1,KPNA6,20.94,-0.9157017656933403,1,5,5,+ sites
chr1,32627547,32632897,+,1,KPNA6,20.94,-0.9157017656933403,1,2,2,- sites
chr1,32792539,32793278,+,1,HDAC1,49.26,-0.6273125302467001,1.584962500721156,1,1,- sites
chr1,33097427,33100393,-,1,ZBTB8OS,38.78,-1.091374353020734,1,8,8,++ sites
chr1,33099245,33099673,-,1,ZBTB8OS,38.78,-1.091374353020734,1,8,8,++ sites
chr1,33099245,33100393,-,2,ZBTB8OS,38.78,-1.091374353020734,1,8,16,+++ sites
chr1,33133825,33138502,+,1,RBBP4,53.66,0.2942405293620826,1.584962500721156,7,7,++ sites
chr1,33276191,33276658,-,1,YARS,68.82,-1.3129419158004305,1,4,4,+ sites
chr1,35457834,35478182,-,1,ZMYM6,4.9,0.47275299713513097,1,1,1,- sites
chr1,35561419,35563167,+,1,ZMYM1,13.22,-0.6837578410860661,2,1,1,- sites
chr1,35824525,35836228,+,1,ZMYM4,27.78,0.35377242529801417,1,1,1,- sites
chr1,35846859,35854683,+,1,ZMYM4,27.78,0.35377242529801417,2.321928094887362,14,14,++ sites
chr1,35846859,35855699,+,1,ZMYM4,27.78,0.35377242529801417,1.584962500721156,14,14,++ sites
chr1,35846859,35859340,+,1,ZMYM4,27.78,0.35377242529801417,1,15,15,+++ sites
chr1,35846859,35865177,+,1,ZMYM4,27.78,0.35377242529801417,1.584962500721156,16,16,+++ sites
chr1,35846859,35873760,+,1,ZMYM4,27.78,0.35377242529801417,1,18,18,+++ sites
chr1,35851042,35854683,+,1,ZMYM4,27.78,0.35377242529801417,1.584962500721156,12,12,++ sites
chr1,35851042,35855699,+,1,ZMYM4,27.78,0.35377242529801417,1,12,12,++ sites
chr1,35851042,35859340,+,1,ZMYM4,27.78,0.35377242529801417,1,13,13,++ sites
chr1,35855548,35865177,+,1,ZMYM4,27.78,0.35377242529801417,1,2,2,- sites
chr1,35857812,35865177,+,1,ZMYM4,27.78,0.35377242529801417,2.584962500721156,2,2,- sites
chr1,35870623,35881315,+,1,ZMYM4,27.78,0.35377242529801417,1.584962500721156,3,3,- sites
chr1,35906647,35928314,-,1,KIAA0319L,13.33,-0.2969817377571315,1,6,6,+ sites
chr1,35913773,35921842,-,1,KIAA0319L,13.33,-0.2969817377571315,1,4,4,+ sites
chr1,35919157,35944813,-,1,KIAA0319L,13.33,-0.2969817377571315,1,2,2,- sites
chr1,36367074,36367938,+,1,EIF2C1,0,0,1,1,1,- sites
chr1,36372535,36384024,+,1,EIF2C1,0,0,2,6,6,+ sites
chr1,38047823,38053096,-,1,GNL2,64.38,-1.5649340202273385,1,10,10,++ sites
chr1,39549838,39759291,+,1,MACF1,30.1,-0.4372555386200743,1,44,44,+++ sites
chr1,39781184,39793025,+,1,MACF1,30.1,-0.4372555386200743,1,20,20,+++ sites
chr1,39789864,39826673,+,1,MACF1,30.1,-0.4372555386200743,1,26,26,+++ sites
chr1,39806173,39806625,+,1,MACF1,30.1,-0.4372555386200743,1,1,1,- sites
chr1,39816456,39824936,+,2,MACF1,30.1,-0.4372555386200743,0.5849625007211562,8,16,+++ sites
chr1,39835701,39838268,+,3,MACF1,30.1,-0.4372555386200743,-0.5849625007211563,2,6,+ sites
chr1,39844132,39847824,+,1,MACF1,30.1,-0.4372555386200743,1,1,1,- sites
chr1,39895498,39896580,+,1,MACF1,30.1,-0.4372555386200743,1,12,12,++ sites
chr1,39900085,39905172,+,1,MACF1,30.1,-0.4372555386200743,1,12,12,++ sites
chr1,39904945,39905172,+,1,MACF1,30.1,-0.4372555386200743,1,2,2,- sites
chr1,39913103,39914435,+,1,MACF1,30.1,-0.4372555386200743,1,3,3,- sites
chr1,40315790,40323089,-,1,TRIT1,19.24,-0.5611649295389644,1,2,2,- sites
chr1,40546068,40558179,-,1,PPT1,74.19,-1.4917801758595493,1,5,5,+ sites
chr1,40654726,40656525,+,1,RLF,10.06,0.38423661108735974,1,8,8,++ sites
chr1,40654726,40668286,+,4,RLF,10.06,0.38423661108735974,2.169925001442312,9,36,+++ sites
chr1,40656443,40668286,+,2,RLF,10.06,0.38423661108735974,0,1,2,- sites
chr1,41474465,41475261,+,2,CTPS,0,0,1,1,2,- sites
chr1,42660560,42664901,-,1,FOXJ3,15.45,0.12856249000964887,1,2,2,- sites
chr1,42660560,42693637,-,1,FOXJ3,15.45,0.12856249000964887,1,7,7,++ sites
chr1,42664772,42671534,-,1,FOXJ3,15.45,0.12856249000964887,1,6,6,+ sites
chr1,42730785,42744343,-,2,FOXJ3,15.45,0.12856249000964887,2,2,4,+ sites
chr1,42730785,42789498,-,1,FOXJ3,15.45,0.12856249000964887,1,2,2,- sites
chr1,44750506,44804994,-,3,ERI3,9.23,0.5183196238619175,1.7369655941662063,1,3,- sites
chr1,44773981,44785416,-,2,ERI3,9.23,0.5183196238619175,2.321928094887362,1,2,- sites
chr1,44773981,44804994,-,6,ERI3,9.23,0.5183196238619175,1.222392421336448,1,6,+ sites
chr1,46032240,46032692,+,4,AKR1A1,27.84,-0.9551034620256771,0.32192809488736235,5,20,+++ sites
chr1,46056894,46068037,+,1,"NASP",246.76,-1.095965346439326,1,2,2,- sites
chr1,46056894,46070688,+,1,"NASP",246.76,-1.095965346439326,1,2,2,- sites
chr1,46079767,46082065,+,3,"NASP",246.76,-1.095965346439326,0.7369655941662062,3,9,++ sites
chr1,46124699,46126897,-,1,GPBP1L1,43.69,-1.2483816260322795,3.584962500721156,16,16,+++ sites
chr1,46521466,46543285,-,1,PIK3R3,2.84,3.809892644859504,1.584962500721156,1,1,- sites
chr1,46521466,46546422,-,1,PIK3R3,2.84,3.809892644859504,4.906890595608519,1,1,- sites
chr1,46527600,46546422,-,1,PIK3R3,2.84,3.809892644859504,2,1,1,- sites
chr1,47042246,47059952,-,1,MKNK1,3.15,-0.4726595310963638,1,1,1,- sites
chr1,47725960,47728788,-,1,STIL,13.88,-0.9369546676759641,1,2,2,- sites
chr1,47725960,47735538,-,1,STIL,13.88,-0.9369546676759641,1,4,4,+ sites
chr1,47745912,47748131,-,4,STIL,13.88,-0.9369546676759641,1.1699250014423124,16,64,+++ sites
chr1,47761436,47767420,-,5,STIL,13.88,-0.9369546676759641,0,7,35,+++ sites
chr1,47761436,47770668,-,1,STIL,13.88,-0.9369546676759641,1.584962500721156,15,15,+++ sites
chr1,47834140,47838779,+,1,CMPK1,27.28,0.5888355098683624,1,1,1,- sites
chr1,47834140,47840965,+,1,CMPK1,27.28,0.5888355098683624,2.321928094887362,1,1,- sites
chr1,51032748,51061888,-,1,FAF1,21.95,-0.46882816871874206,1,8,8,++ sites
chr1,51860052,51887530,-,1,EPS15,23.59,-0.14258851057965144,1,2,2,- sites
chr1,51860052,51913807,-,1,EPS15,23.59,-0.14258851057965144,1.584962500721156,3,3,- sites
chr1,51868106,51874004,-,5,EPS15,23.59,-0.14258851057965144,0.48542682717024166,2,10,++ sites
chr1,51873806,51910717,-,1,EPS15,23.59,-0.14258851057965144,1,1,1,- sites
chr1,52211207,52231653,+,3,OSBPL9,42.4,-0.7901052857597799,-0.5849625007211563,3,9,++ sites
chr1,52214040,52231653,+,1,OSBPL9,42.4,-0.7901052857597799,1,3,3,- sites
chr1,52289335,52299842,-,1,NRD1,71.57,-0.5932509697707318,2.321928094887362,2,2,- sites
chr1,52293467,52299842,-,3,NRD1,71.57,-0.5932509697707318,2.9385994553358565,2,6,+ sites
chr1,52698842,52705267,+,1,ZFYVE9,12.99,-0.03940496727077815,2,10,10,++ sites
chr1,52902426,52927441,-,1,ZCCHC11,14.41,1.2222493890614197,1,2,2,- sites
chr1,52903891,52927441,-,1,ZCCHC11,14.41,1.2222493890614197,2.321928094887362,2,2,- sites
chr1,52911458,52912339,-,1,ZCCHC11,14.41,1.2222493890614197,1,2,2,- sites
chr1,52911458,52926895,-,1,ZCCHC11,14.41,1.2222493890614197,1,2,2,- sites
chr1,52911458,52927441,-,1,ZCCHC11,14.41,1.2222493890614197,2,2,2,- sites
chr1,52911458,52975384,-,1,ZCCHC11,14.41,1.2222493890614197,1,15,15,+++ sites
chr1,52930741,52956473,-,1,ZCCHC11,14.41,1.2222493890614197,1.584962500721156,12,12,++ sites
chr1,52930741,52961187,-,1,ZCCHC11,14.41,1.2222493890614197,1,13,13,++ sites
chr1,52937623,52975384,-,1,ZCCHC11,14.41,1.2222493890614197,2,13,13,++ sites
chr1,52943379,52954707,-,1,ZCCHC11,14.41,1.2222493890614197,1.584962500721156,2,2,- sites
chr1,52943379,52956473,-,1,ZCCHC11,14.41,1.2222493890614197,1,2,2,- sites
chr1,52943379,52959334,-,1,ZCCHC11,14.41,1.2222493890614197,1,2,2,- sites
chr1,52943379,52962855,-,1,ZCCHC11,14.41,1.2222493890614197,1,3,3,- sites
chr1,52954580,52992045,-,1,ZCCHC11,14.41,1.2222493890614197,1.584962500721156,9,9,++ sites
chr1,52956403,52975384,-,1,ZCCHC11,14.41,1.2222493890614197,2.584962500721156,1,1,- sites
chr1,52959282,52975384,-,1,ZCCHC11,14.41,1.2222493890614197,4.906890595608519,1,1,- sites
chr1,52975267,52992045,-,1,ZCCHC11,14.41,1.2222493890614197,3.169925001442312,6,6,+ sites
chr1,52981562,52992045,-,5,ZCCHC11,14.41,1.2222493890614197,1,6,30,+++ sites
chr1,53250548,53262456,+,1,ZYG11B,9.34,0.8975928510264286,1,7,7,++ sites
chr1,53267490,53267811,+,1,ZYG11B,9.34,0.8975928510264286,2.321928094887362,8,8,++ sites
chr1,54254805,54298264,-,1,TMEM48,0,0,1,23,23,+++ sites
chr1,54266365,54301293,-,1,TMEM48,0,0,1,15,15,+++ sites
chr1,54291470,54298264,-,1,TMEM48,0,0,1,11,11,++ sites
chr1,54506428,54513045,-,1,TMEM59,45.52,0.08880453655427369,2,5,5,+ sites
chr1,55330975,55341720,-,1,DHCR24,72.04,-1.1939044237708665,1,11,11,++ sites
chr1,55340765,55341720,-,1,DHCR24,72.04,-1.1939044237708665,1,6,6,+ sites
chr1,55555299,55587179,-,1,USP24,14.92,0.4169701118128434,1,18,18,+++ sites
chr1,55566511,55573103,-,1,USP24,14.92,0.4169701118128434,1,9,9,++ sites
chr1,61743191,61824946,+,1,NFIA,0.1,4.465974464504069,1,1,1,- sites
chr1,62907158,62907970,+,2,USP1,38.26,-0.0068033950381688885,2,10,20,+++ sites
chr1,62907158,62908990,+,1,USP1,38.26,-0.0068033950381688885,1.584962500721156,11,11,++ sites
chr1,62907158,62911100,+,1,USP1,38.26,-0.0068033950381688885,1.584962500721156,21,21,+++ sites
chr1,62908829,62914337,+,1,USP1,38.26,-0.0068033950381688885,1,17,17,+++ sites
chr1,62910408,62913182,+,1,USP1,38.26,-0.0068033950381688885,1,12,12,++ sites
chr1,62910408,62914337,+,1,USP1,38.26,-0.0068033950381688885,1,16,16,+++ sites
chr1,62939652,62943505,-,1,DOCK7,12.94,0.950090477556942,1,2,2,- sites
chr1,62958374,62973729,-,1,DOCK7,12.94,0.950090477556942,1,6,6,+ sites
chr1,62970300,62973729,-,1,DOCK7,12.94,0.950090477556942,1,1,1,- sites
chr1,62976247,63010710,-,1,DOCK7,12.94,0.950090477556942,1,9,9,++ sites
chr1,63042932,63044637,-,1,DOCK7,12.94,0.950090477556942,1,1,1,- sites
chr1,63042932,63052295,-,1,DOCK7,12.94,0.950090477556942,2.321928094887362,1,1,- sites
chr1,63084376,63128801,-,1,DOCK7,12.94,0.950090477556942,1,4,4,+ sites
chr1,63113361,63119830,-,1,DOCK7,12.94,0.950090477556942,1,3,3,- sites
chr1,63294710,63307218,+,1,ATG4C,15.49,-0.7865497940484215,1,2,2,- sites
chr1,65016276,65107652,+,1,CACHD1,16.23,-0.39766074385307004,1,5,5,+ sites
chr1,65243305,65255197,+,1,RAVER2,14.62,-0.47755398339895216,1,2,2,- sites
chr1,65243305,65280523,+,1,RAVER2,14.62,-0.47755398339895216,1.584962500721156,6,6,+ sites
chr1,65278420,65280523,+,1,RAVER2,14.62,-0.47755398339895216,1,2,2,- sites
chr1,65316486,65332891,-,1,JAK1,15.36,0.3279268355088056,1,7,7,++ sites
chr1,67885691,67890906,-,1,SERBP1,128.69,-0.8322315403714713,1,4,4,+ sites
chr1,70625012,70654956,-,1,LRRC40,25.93,0.013291718194740284,1,9,9,++ sites
chr1,70694104,70705203,+,1,SRSF11,88.54,0.17819323816003607,1,24,24,+++ sites
chr1,70736538,70742527,-,1,ANKRD13C,6.42,0.40997244419598694,1,17,17,+++ sites
chr1,70736538,70781249,-,1,ANKRD13C,6.42,0.40997244419598694,1.584962500721156,19,19,+++ sites
chr1,70758070,70781249,-,5,ANKRD13C,6.42,0.40997244419598694,0.2630344058337938,2,10,++ sites
chr1,70761812,70781249,-,1,ANKRD13C,6.42,0.40997244419598694,2,2,2,- sites
chr1,77620133,77635080,-,1,PIGK,10.39,-0.5574555656330316,1.584962500721156,7,7,++ sites
chr1,78041752,78050340,-,2,ZZZ3,21.07,-0.5571588215530497,0,2,4,+ sites
chr1,78045211,78050340,-,1,ZZZ3,21.07,-0.5571588215530497,1,2,2,- sites
chr1,78097519,78107340,-,1,ZZZ3,21.07,-0.5571588215530497,2.321928094887362,16,16,+++ sites
