miRNAname,H9_RPM,FB_RPM,log2FoldChange_miR,Total_TargetSites,Sponging_Coefficient,quartile
hsa-miR-320a,1080.24,2009.51,0.8954918810820806,1263.5,0.8178655231005745,+ sponged
hsa-miR-320b,36.16,118.65,1.7142455176661229,1263.5,16.323234933143855,+++ sponged
hsa-miR-330-5p,177.37,107.26,-0.7256498573021556,862.5,6.060499595966694,+++ sponged
hsa-miR-331-3p,544.13,1084.85,0.9954723008708132,428.5,0.5260960846664784,+ sponged
hsa-miR-335-5p,176.35,1147.34,2.7017794986438965,432.5,0.653476267101814,+ sponged
hsa-miR-339-3p,106.49,271.08,1.3480007167969912,8.5,0.045024763619991,- sponged
hsa-miR-339-5p,25.09,85.94,1.776217306364766,297.5,5.358912005764208,++ sponged
hsa-miR-340-5p,2426.84,13293.95,2.4536189321035384,797,0.10139439557426821,- sponged
hsa-miR-342-3p,154.52,827.74,2.421384093718947,335,0.6821004621994177,+ sponged
hsa-miR-345-5p,854.76,2237.65,1.3883930948870749,1126,0.7282346131334461,+ sponged
hsa-miR-34a-5p,237.25,156.53,-0.5999689016320544,872.5,4.431408400629794,++ sponged
hsa-miR-34c-5p,388.58,173.29,-1.1650232444290742,877.5,3.1234983181162903,++ sponged
hsa-miR-361-3p,77.49,106.44,0.45795836618306385,272,2.957646930897624,++ sponged
hsa-miR-361-5p,306.95,425.28,0.47040933988647504,931.5,2.54428253417642,++ sponged
hsa-miR-363-3p,7339.42,4246.47,-0.7894020003329719,717.5,0.12385755431822675,- sponged
hsa-miR-365a-3p,59.09,17,-1.797379252549124,250,6.571165724799579,+++ sponged
hsa-miR-365b-3p,59.09,17,-1.797379252549124,250,6.571165724799579,+++ sponged
hsa-miR-367-3p,2470.35,2.9,-9.734446842220638,713,0.5765692914181745,+ sponged
hsa-miR-371a-5p,312.49,6.44,-5.600605524229573,354.5,2.223058351362368,++ sponged
hsa-miR-372-3p,268.51,7.45,-5.171591583068927,1817.5,13.172198869401363,+++ sponged
hsa-miR-373-3p,214.32,6.63,-5.014613805729791,1806.5,16.352115863317493,+++ sponged
hsa-miR-374a-3p,1171,820.78,-0.5126735935977482,961.5,0.9654680737832492,+ sponged
hsa-miR-374a-5p,261.26,289.67,0.14892401909379085,326,1.1834534332855353,+ sponged
hsa-miR-374b-3p,90.9,59.7,-0.6065493629293022,684,9.083665338645417,+++ sponged
hsa-miR-374b-5p,130.9,215.29,0.7178162120712162,326,1.8833588491868627,++ sponged
hsa-miR-375,39.75,42.87,0.10901355675789245,70,1.6945049624788187,++ sponged
hsa-miR-378a-3p,7195.18,795.86,-3.176444205723057,719.5,0.18007668588819478,- sponged
hsa-miR-378c,104.93,17,-2.6258205589804,700,11.481997867628968,+++ sponged
hsa-miR-381-3p,2.7199999999999998,98.53,5.178884500585554,474.5,9.37283950617284,+++ sponged
hsa-miR-409-3p,2.09,66.97,5.001940120631272,1476.5,42.7599189110918,+++ sponged
hsa-miR-410-3p,4.66,188.85,5.3407670186732545,220.5,2.278951992145109,++ sponged
hsa-miR-411-5p,3.26,163.74,5.650391025764219,430.5,5.155688622754491,++ sponged
hsa-miR-421,1985.54,2075.98,0.06426111964376433,946,0.46583545076720045,+ sponged
hsa-miR-423-3p,2884.6,1795.21,-0.6842186605209013,118,0.05042939777469599,- sponged
hsa-miR-423-5p,1397.27,789.92,-0.8228323700412526,501,0.45812206529839655,+ sponged
hsa-miR-424-5p,158.19,16.939999999999998,-3.22315262276879,3154.5,36.024667389938905,+++ sponged
hsa-miR-425-5p,740.61,612.69,-0.273556724855301,441,0.6517401906450897,+ sponged
hsa-miR-448,153.04,109.22,-0.48667171687184857,813,6.19995424388012,+++ sponged
hsa-miR-449a,1.47,167.41,6.8314257425267515,872.5,10.332780672666983,+++ sponged
hsa-miR-449b-5p,1.31,37.69,4.846543078126906,872.5,44.743589743589745,+++ sponged
hsa-miR-449c-5p,2.48,297.64,6.907084493201833,687.5,4.581500733040118,++ sponged
hsa-miR-450b-5p,174.09,39.71,-2.1322590687500425,1632,15.266604303086996,+++ sponged
hsa-miR-454-3p,581.71,1068.35,0.8770123524661032,897,1.0872331915203084,+ sponged
hsa-miR-455-5p,172.77,49.51,-1.803060873455106,131.5,1.1831923699838043,+ sponged
hsa-miR-486-5p,4856.82,3112.21,-0.6420726080781307,322.5,0.08093833251976715,- sponged
hsa-miR-488-3p,5.29,223.45,5.400540512168346,516,4.511672641426948,++ sponged
hsa-miR-500a-3p,533.37,1302.94,1.2885620634913446,490.5,0.5342235243504637,+ sponged
hsa-miR-501-3p,134.72,327.37,1.2809580766021376,142.5,0.6167629682529377,+ sponged
hsa-miR-505-3p,133.31,267.47,1.0045920793128233,659.5,3.2910823893407852,++ sponged
hsa-miR-512-3p,1987.18,3.97,-8.967367836014192,1579.5,1.5865203525600782,+ sponged
hsa-miR-515-5p,949.65,1.32,-9.4907141564735,1449,3.0474147449446356,++ sponged
hsa-miR-516a-5p,133.78,1.8900000000000001,-6.145332405705901,162.5,2.3955185376280683,++ sponged
hsa-miR-516b-5p,460,1.19,-8.594528477411156,1283,5.563867386543507,++ sponged
hsa-miR-517a-3p,176.04,1.13,-7.2834366939793584,153.5,1.732799006603827,++ sponged
hsa-miR-517b-3p,176.04,1.13,-7.2834366939793584,153.5,1.732799006603827,++ sponged
hsa-miR-518a-3p,99.24,1.06,-6.548785565329232,35.5,0.707876370887338,+ sponged
hsa-miR-518b,261.42,1.44,-7.504156897194012,35.5,0.270105759720003,- sponged
hsa-miR-518c-3p,236.31,1.19,-7.633575297796812,34,0.2863157894736842,- sponged
hsa-miR-518e-5p,95.97,1,-6.584511588062105,99.5,2.0521810869341035,++ sponged
hsa-miR-518f-3p,71.56,1,-6.161081482277184,35.5,0.9785005512679161,+ sponged
hsa-miR-519a-5p,90.51,1.06,-6.415941027304659,99.5,2.173200829966146,++ sponged
hsa-miR-519b-5p,96.12,1,-6.5867647433551415,99.5,2.049011532125206,++ sponged
hsa-miR-519c-3p,541.79,1.25,-8.759661860366105,929.5,3.4233205657041843,++ sponged
hsa-miR-519c-5p,96.12,1,-6.5867647433551415,99.5,2.049011532125206,++ sponged
hsa-miR-520a-3p,98.54,1.25,-6.300709471650097,1830.5,36.6870427898587,+++ sponged
hsa-miR-520a-5p,129.96,1.06,-6.937859573766284,815.5,12.448481147916347,+++ sponged
hsa-miR-520c-3p,203.17,1.13,-7.4902208072045475,1830.5,17.919725893294178,+++ sponged
hsa-miR-520d-5p,131.05,1.13,-6.857650770800592,687.5,10.402481464669389,+++ sponged
hsa-miR-520f-3p,532.51,1.32,-8.6561268781397,1001,3.750257572635483,++ sponged
hsa-miR-520g-3p,123.33,1.13,-6.7700571948699055,1241.5,19.95018479832878,+++ sponged
hsa-miR-522-5p,96.12,1,-6.5867647433551415,99.5,2.049011532125206,++ sponged
hsa-miR-523-5p,96.12,1,-6.5867647433551415,99.5,2.049011532125206,++ sponged
hsa-miR-526b-5p,199.51,1.13,-7.46399447731042,1075,10.715709728867624,+++ sponged
hsa-miR-532-5p,379.93,628.95,0.7272116964428967,449,0.8900959479819205,+ sponged
hsa-miR-561-5p,2157.85,147.68,-3.869048218124158,788,0.6835738420233093,+ sponged
hsa-miR-574-5p,118.03,27.88,-2.081851133525396,299.5,4.105270372147214,++ sponged
hsa-miR-577,433.73,135.03,-1.6835172636384061,922.5,3.2438990083690835,++ sponged
hsa-miR-582-3p,6.69,194.29,4.860061627017679,858,8.538163001293661,+++ sponged
hsa-miR-584-5p,20.26,39.27,0.9547934238652588,565,18.98202586930959,+++ sponged
hsa-miR-589-5p,539.76,125.54,-2.1041709529158923,291.5,0.8762964076356532,+ sponged
hsa-miR-615-3p,1,1.8199999999999998,0.8639384504239714,44.5,31.560283687943265,+++ sponged
hsa-miR-625-5p,18.39,31.8,0.79010528575978,300,11.95457262402869,+++ sponged
hsa-miR-652-3p,106.57,309.72,1.5391631780480026,26.5,0.12731509284393092,- sponged
hsa-miR-653-5p,184.93,61.02,-1.599625197800789,1270.5,10.331368164261027,+++ sponged
hsa-miR-654-3p,2.48,137.81,5.796196648256737,1004,14.313208354123601,+++ sponged
hsa-miR-660-5p,246.06,516.99,1.0711262256448917,258.5,0.6775440665749296,+ sponged
hsa-miR-670-3p,6.38,350.01,5.777695907111651,2028.5,11.383596621678498,+++ sponged
hsa-miR-671-3p,143.99,72.66,-0.9867353501670532,51,0.47080544657281326,+ sponged
hsa-miR-7-5p,44.43,754.62,4.086144290526126,6955,17.408172204492836,+++ sponged
hsa-miR-708-5p,70.63,474.24,2.7472643511418724,660,2.422596215611063,++ sponged
hsa-miR-744-5p,465.38,437.55,-0.08896132438589395,43,0.09524547860853,- sponged
hsa-miR-769-5p,3349.06,4670.06,0.4796848626695294,155.5,0.03878231027843454,- sponged
hsa-miR-873-3p,129.73,193.66,0.5780138588702157,860.5,5.321747734933053,++ sponged
hsa-miR-873-5p,101.89,268.11,1.3958125650798114,707,3.8216216216216217,++ sponged
hsa-miR-874-3p,218.53,51.98,-2.071802808905059,285,2.10713097482533,++ sponged
hsa-miR-877-5p,171.13,116.05,-0.5603461714367085,442.5,3.0816909255519187,++ sponged
hsa-miR-887-3p,174.48,288.53,0.725659656261531,40.5,0.17494222586985161,- sponged
hsa-miR-889-3p,1.94,58.75,4.920460294152597,507.5,16.724336793540946,+++ sponged
hsa-miR-9-3p,10.75,895.99,6.381074065758501,684,1.5087015020843901,+ sponged
hsa-miR-9-5p,330.5,66942.86,7.662136106647256,708,0.021048450679436854,- sponged
hsa-miR-92a-3p,141285.71,46580.32,-1.6008230993647152,717.5,0.007638421911614356,- sponged
hsa-miR-92b-3p,48443.73,57645.22,0.2508910312559266,717.5,0.013526385170180304,- sponged
hsa-miR-93-5p,5220.7,5759.48,0.1416953038091287,1346,0.24516902273004632,- sponged
hsa-miR-941,1137.79,909.02,-0.3238503647523893,88,0.08598746341868567,- sponged
hsa-miR-96-5p,50.9,5.93,-3.101561646417054,528.5,18.59933133908147,+++ sponged
hsa-miR-98-5p,2.6399999999999997,333.95,6.982950374411607,1027,6.102379749844024,+++ sponged
hsa-miR-99a-5p,2.7199999999999998,1486.87,9.094456148395212,27,0.036251586006887805,- sponged
hsa-miR-99b-5p,2487.35,11059.33,2.1525825549303836,27,0.0039862165489994595,- sponged
